timestamp,q_0.05,q_0.95,q_0.5
2019-07-01,159.8,159.8,159.8
2019-08-01,155.2,155.2,155.2
2019-09-01,150.3,150.3,150.3
2019-10-01,147.6,147.6,147.6
2019-11-01,157.8,157.8,157.8
2019-12-01,164.5,164.5,164.5
2020-01-01,168.2,168.2,168.2
2020-02-01,170.5,170.5,170.5
2020-03-01,168.9,168.9,168.9
2020-04-01,166.7,166.7,166.7
2020-05-01,167.3,167.3,167.3
2020-06-01,172.8,172.8,172.8
2020-07-01,173.5,173.5,173.5
2020-08-01,168.9,168.9,168.9
2020-09-01,163.7,163.7,163.7
2020-10-01,160.8,160.8,160.8
2020-11-01,170.6,170.6,170.6
2020-12-01,177.3,177.3,177.3
