timestamp,q_0.05,q_0.95,q_0.5
2020-07-01,163.5,163.5,163.5
2020-08-01,157.2,157.2,157.2
2020-09-01,151.4,151.4,151.4
2020-10-01,146.8,146.8,146.8
2020-11-01,154.2,154.2,154.2
2020-12-01,158.7,158.7,158.7
2021-01-01,165.9,165.9,165.9
2021-02-01,165.3,165.3,165.3
2021-03-01,162.4,162.4,162.4
2021-04-01,164.1,164.1,164.1
2021-05-01,161.8,161.8,161.8
2021-06-01,167.2,167.2,167.2
2021-07-01,167.6,167.6,167.6
2021-08-01,161.3,161.3,161.3
2021-09-01,155.6,155.6,155.6
2021-10-01,150.9,150.9,150.9
2021-11-01,159.4,159.4,159.4
2021-12-01,163.8,163.8,163.8
