timestamp,q_0.05,q_0.95,q_0.5
2022-07-01,191.5,191.5,191.5
2022-08-01,191.8,191.8,191.8
2022-09-01,192.3,192.3,192.3
2022-10-01,192.7,192.7,192.7
2022-11-01,193.1,193.1,193.1
2022-12-01,193.4,193.4,193.4
2023-01-01,193.8,193.8,193.8
2023-02-01,194.1,194.1,194.1
2023-03-01,194.4,194.4,194.4
2023-04-01,194.7,194.7,194.7
2023-05-01,195.0,195.0,195.0
2023-06-01,195.2,195.2,195.2
2023-07-01,195.5,195.5,195.5
2023-08-01,195.8,195.8,195.8
2023-09-01,196.1,196.1,196.1
2023-10-01,196.4,196.4,196.4
2023-11-01,196.6,196.6,196.6
2023-12-01,196.9,196.9,196.9
