timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2024-01-01,205.478,187.625,194.347,197.239,200.73,211.683,216.415,222.073,227.804
2024-02-01,206.747,187.81,194.802,197.92,201.821,213.127,218.241,224.16,229.564
2024-03-01,208.173,187.798,195.35,198.534,202.952,214.77,220.45,226.675,231.653
2024-04-01,209.501,187.692,195.885,199.073,203.965,216.328,222.607,229.13,233.654
2024-05-01,210.528,187.667,196.406,199.594,204.745,217.568,224.282,231.047,235.185
2024-06-01,211.589,187.604,196.967,200.159,205.498,218.914,226.062,233.034,236.732
2024-07-01,213.35,187.037,197.476,200.689,206.533,221.183,229.235,236.419,239.256
2024-08-01,215.193,185.561,197.522,200.711,207.337,223.642,233.022,240.329,241.964
2024-09-01,215.626,183.902,196.925,200.046,207.282,224.514,234.609,241.832,242.854
2024-10-01,214.983,182.552,195.951,199.035,206.614,224.18,234.281,241.347,242.295
2024-11-01,214.01,181.62,195.108,198.134,205.693,223.419,233.231,240.176,241.109
2024-12-01,213.03,180.972,194.476,197.413,204.755,222.549,231.958,238.831,239.64
