timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-01-01,162.97,155.431,157.932,159.084,160.779,165.27,168.031,169.676,173.31
2023-02-01,163.265,145.113,156.517,159.008,160.891,165.462,167.934,169.222,173.093
2023-03-01,163.387,151.195,156.371,158.303,161.166,166.108,168.608,170.831,172.721
2023-04-01,164.331,151.489,157.456,159.262,161.692,167.166,169.08,171.008,177.213
2023-05-01,165.65,153.752,157.935,161.01,163.388,168.069,170.559,172.371,174.842
2023-06-01,166.233,154.383,158.216,160.328,163.533,168.921,171.284,174.018,184.128
2023-07-01,165.454,154.384,157.792,160.149,162.7,168.151,170.881,172.68,179.542
2023-08-01,165.25,152.249,157.312,159.607,162.508,167.725,170.291,171.992,180.108
2023-09-01,165.396,150.998,158.194,159.497,162.416,168.467,171.155,173.323,176.552
2023-10-01,165.077,149.581,157.017,158.845,162.291,168.362,170.916,172.548,185.952
2023-11-01,165.701,153.133,157.377,159.808,162.611,168.276,171.326,172.85,180.402
2023-12-01,165.298,147.58,156.75,159.091,162.268,168.259,171.345,174.117,179.315
