timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-01-01,166.874,160.657,162.777,163.527,165.207,168.757,170.948,172.782,176.823
2022-02-01,166.752,149.959,161.571,163.216,164.792,168.716,170.841,172.185,176.852
2022-03-01,166.777,156.61,160.707,162.493,164.855,168.88,171.375,173.417,175.935
2022-04-01,167.188,157.446,160.932,162.818,164.915,169.323,171.118,173.194,179.418
2022-05-01,167.047,158.394,161.015,163.183,165.181,169.207,171.61,173.035,175.995
2022-06-01,167.672,158.01,161.035,162.604,165.282,169.973,172.948,174.261,182.728
2022-07-01,167.833,158.202,161.741,163.202,165.247,170.019,172.935,174.553,178.613
2022-08-01,167.754,157.333,161.596,163.191,165.512,170.216,172.54,173.959,180.663
2022-09-01,167.619,154.706,161.416,162.93,165.057,170.65,173.113,175.211,180.098
2022-10-01,167.067,154.695,160.612,162.015,164.798,170.627,172.898,174.7,187.042
2022-11-01,167.634,157.22,160.957,162.778,164.97,170.24,172.956,175.342,182.718
2022-12-01,167.226,153.844,160.156,162.232,164.697,170.31,172.976,176.0,181.124
