timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-09-01,174.342,159.288,165.552,167.882,171.382,177.611,180.604,183.382,187.13
2023-10-01,175.14,161.639,168.224,169.249,172.176,178.26,180.863,183.013,188.459
2023-11-01,174.784,163.697,167.344,168.98,171.521,177.812,182.158,183.965,188.255
2023-12-01,173.888,161.891,165.817,167.789,171.283,177.278,180.014,181.673,184.94
2024-01-01,175.646,162.478,167.283,169.325,172.902,178.852,182.38,183.274,188.491
2024-02-01,174.209,148.931,164.432,168.513,171.571,177.614,180.96,184.308,193.458
2024-03-01,174.231,159.918,164.722,168.238,171.261,177.878,181.639,184.281,188.386
2024-04-01,174.709,159.674,165.326,167.88,171.541,177.862,181.558,183.904,190.139
2024-05-01,174.216,163.992,166.81,168.423,171.544,177.214,180.761,182.597,189.477
2024-06-01,174.776,161.18,165.563,167.659,171.111,177.948,181.803,183.903,191.726
2024-07-01,174.12,160.04,164.51,167.867,171.477,177.669,180.656,182.457,186.431
2024-08-01,174.767,156.029,165.675,169.113,171.643,178.006,181.276,183.979,188.948
2024-09-01,174.558,160.626,166.71,168.88,171.623,177.924,180.816,183.189,191.992
2024-10-01,174.239,158.208,165.047,167.14,171.032,177.368,180.809,183.165,192.469
2024-11-01,174.262,162.915,167.267,169.335,171.628,177.384,181.245,183.926,189.858
2024-12-01,174.196,159.029,165.656,167.988,170.908,177.23,180.491,182.908,188.943
