timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-09-01,181.299,168.408,173.37,175.419,178.369,184.229,187.18,189.225,194.136
2021-10-01,180.149,169.825,173.72,175.353,177.775,182.551,184.947,186.597,190.441
2021-11-01,179.132,167.868,172.067,173.888,176.53,181.761,184.396,186.198,190.413
2021-12-01,179.159,166.921,171.543,173.469,176.31,181.987,184.79,186.771,191.308
2022-01-01,179.798,167.189,171.94,173.94,176.866,182.713,185.654,187.627,192.275
2022-02-01,179.355,165.008,170.41,172.7,176.006,182.637,185.899,188.185,193.536
2022-03-01,180.46,165.501,171.08,173.521,176.997,183.856,187.347,189.73,195.343
2022-04-01,179.721,164.734,170.313,172.816,176.284,183.153,186.591,188.973,194.552
2022-05-01,180.419,164.467,170.582,173.271,176.908,183.997,187.551,190.078,195.87
2022-06-01,180.484,163.657,170.216,173.102,176.806,184.207,187.893,190.584,196.616
2022-07-01,181.008,163.111,170.271,173.253,177.175,184.885,188.744,191.522,198.02
2022-08-01,181.19,162.626,170.107,173.208,177.262,185.23,189.26,192.088,198.789
2022-09-01,182.111,162.117,170.284,173.527,177.88,186.342,190.629,193.608,200.825
2022-10-01,182.457,161.557,170.064,173.43,178.003,186.911,191.377,194.53,202.239
2022-11-01,182.916,162.44,170.65,173.844,178.427,187.343,191.755,194.817,202.229
2022-12-01,183.385,162.597,170.96,174.155,178.764,187.879,192.39,195.513,203.078
