timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2024-09-01,179.625,176.349,177.309,177.82,178.675,180.575,181.429,181.941,182.901
2024-10-01,180.397,177.107,178.071,178.585,179.443,181.351,182.21,182.724,183.687
2024-11-01,179.683,176.405,177.365,177.877,178.733,180.633,181.489,182.001,182.961
2024-12-01,179.61,176.332,177.292,177.804,178.66,180.561,181.416,181.928,182.889
2025-01-01,181.699,178.379,179.351,179.87,180.736,182.661,183.528,184.046,185.019
2025-02-01,183.21,179.857,180.839,181.363,182.238,184.182,185.057,185.58,186.562
2025-03-01,184.914,181.523,182.516,183.046,183.931,185.897,186.782,187.311,188.305
2025-04-01,185.064,181.66,182.657,183.188,184.077,186.051,186.939,187.47,188.467
2025-05-01,185.751,182.321,183.326,183.861,184.756,186.745,187.64,188.175,189.18
2025-06-01,185.399,181.959,182.967,183.504,184.402,186.396,187.294,187.831,188.839
2025-07-01,185.502,182.04,183.054,183.595,184.498,186.506,187.409,187.95,188.964
2025-08-01,186.791,183.282,184.31,184.858,185.774,187.809,188.725,189.273,190.301
2025-09-01,186.937,183.191,184.288,184.874,185.851,188.023,189.001,189.586,190.684
2025-10-01,187.71,183.917,185.028,185.621,186.61,188.81,189.799,190.392,191.503
2025-11-01,186.996,183.179,184.297,184.893,185.889,188.102,189.098,189.694,190.812
2025-12-01,186.923,183.066,184.196,184.798,185.804,188.041,189.048,189.65,190.78
