timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-09-01,146.596,140.672,143.029,143.838,145.233,147.981,149.235,150.279,151.619
2021-10-01,147.553,140.768,143.201,144.395,145.795,149.386,151.288,152.077,154.532
2021-11-01,155.101,146.912,149.734,150.718,152.717,157.413,159.192,160.656,165.397
2021-12-01,159.337,148.187,152.679,154.224,156.68,161.892,164.233,165.573,168.602
2022-01-01,164.826,154.357,157.196,159.257,161.569,167.88,170.812,172.603,175.85
2022-02-01,165.373,152.416,158.155,159.706,162.52,168.5,171.723,173.032,177.146
2022-03-01,162.556,152.372,155.659,156.987,159.621,165.683,167.91,169.496,172.399
2022-04-01,161.236,152.503,154.373,156.21,158.679,164.666,166.628,168.01,172.189
2022-05-01,164.138,156.216,157.959,158.645,161.335,166.666,168.812,170.973,172.953
2022-06-01,167.542,157.658,160.562,161.927,164.316,169.967,172.805,175.63,178.091
2022-07-01,168.804,159.799,161.503,163.358,166.026,171.194,174.096,176.275,178.665
2022-08-01,164.987,156.072,158.394,160.071,162.237,167.196,171.001,172.87,174.926
2022-09-01,159.491,150.918,153.163,154.549,156.758,162.432,164.443,165.587,171.262
2022-10-01,159.45,149.196,153.515,154.72,157.099,163.274,166.344,167.978,171.113
2022-11-01,168.226,157.855,160.386,162.145,164.916,171.743,174.123,175.506,179.202
2022-12-01,173.736,161.168,164.201,167.357,170.38,177.75,180.879,183.102,186.146
