timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,139.1731,132.23291,134.64789,135.75444,137.43361,140.9126,142.59175,143.69832,146.1133
2021-09-01,138.61984,131.38026,133.92194,135.077,136.82057,140.4191,142.16267,143.31773,145.8594
2021-10-01,140.02322,132.97437,135.40436,136.5274,138.24094,141.80551,143.51904,144.6421,147.0721
2021-11-01,138.77974,131.69777,134.1528,135.28163,136.9984,140.56108,142.27783,143.40666,145.8617
2021-12-01,140.13199,132.67827,135.28569,136.47462,138.27312,141.99086,143.78935,144.97829,147.5857
2022-01-01,139.7409,131.6141,134.42517,135.72032,137.69254,141.78926,143.76149,145.05664,147.8677
2022-02-01,137.73834,129.07866,132.0889,133.46951,135.56578,139.91089,142.00716,143.38777,146.39801
2022-03-01,138.81956,130.0015,133.11719,134.52473,136.6414,140.99771,143.11438,144.52193,147.6376
2022-04-01,140.52464,130.08395,133.74188,135.40742,137.92467,143.12463,145.64188,147.30742,150.96535
2022-05-01,139.97372,130.18565,133.64009,135.20235,137.55328,142.39418,144.7451,146.30737,149.7618
2022-06-01,141.5396,132.63164,135.73415,137.15456,139.30882,143.77039,145.92465,147.34506,150.44757
2022-07-01,139.56668,130.2651,133.54643,135.031,137.26558,141.86777,144.10236,145.58691,148.86824
2022-08-01,141.30359,130.0494,133.99498,135.79039,138.5028,144.10435,146.81677,148.61218,152.55777
2022-09-01,141.6948,131.48848,135.08406,136.71288,139.16656,144.22304,146.67673,148.30554,151.90112
2022-10-01,142.54675,132.2121,135.82909,137.4776,139.97061,145.12291,147.6159,149.26442,152.88142
2022-11-01,142.8274,131.31187,135.38553,137.2238,139.9862,145.66856,148.43097,150.26924,154.3429
2022-12-01,142.95897,132.58769,136.2075,137.86153,140.36691,145.55101,148.05641,149.71042,153.33023
2023-01-01,142.81548,132.09909,135.91635,137.62782,140.18915,145.44182,148.00313,149.71461,153.53186
