timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,156.59125,153.24356,154.7992,154.6993,155.911,157.02658,157.91573,158.03693,159.19377
2019-09-01,156.49873,153.19846,154.78548,154.61737,155.76239,156.97578,157.99783,158.08443,159.25037
2019-10-01,156.4454,153.16641,154.78006,154.53864,155.6702,156.92792,158.02669,158.0991,159.2986
2019-11-01,156.41092,153.13779,154.77786,154.46509,155.60254,156.88124,158.03188,158.09941,159.34424
2019-12-01,156.38339,153.11119,154.77686,154.39482,155.54517,156.83473,158.02644,158.09322,159.38634
2020-01-01,156.44197,153.49178,154.65324,155.34843,155.95602,157.2506,157.93948,158.00757,158.34624
2020-02-01,156.4614,153.44682,154.67587,155.25607,155.94365,157.23091,157.97833,158.03934,158.50261
2020-03-01,156.47377,153.40579,154.69624,155.16374,155.92201,157.20775,158.0093,158.06639,158.64119
2020-04-01,156.47922,153.36685,154.71379,155.07118,155.8932,157.17964,158.03317,158.08801,158.76613
2020-05-01,156.47887,153.3296,154.72864,154.97897,155.85847,157.14651,158.05043,158.1042,158.8786
2020-06-01,156.4735,153.29382,154.74092,154.88799,155.8189,157.10902,158.0616,158.1152,158.97939
2020-07-01,156.46385,153.25949,154.75085,154.79897,155.7756,157.06796,158.06729,158.12143,159.06915
2020-08-01,156.45073,153.22668,154.75868,154.71255,155.72961,157.02422,158.06812,158.12338,159.14864
2020-09-01,156.43483,153.19543,154.76463,154.62921,155.68187,156.97859,158.06476,158.12155,159.21863
2020-10-01,156.41672,153.16577,154.76894,154.54929,155.63312,156.93181,158.05783,158.1165,159.27997
2020-11-01,156.39697,153.13771,154.77179,154.47296,155.584,156.88446,158.04791,158.10872,159.33351
2020-12-01,156.37607,153.11125,154.77338,154.40034,155.53508,156.83708,158.03555,158.09866,159.38007
2021-01-01,156.43733,153.49112,154.65103,155.34836,155.94858,157.24922,157.94278,158.00954,158.34459
