timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,143.42577,99.7818,119.2188,126.17253,135.16797,151.68356,160.679,167.63274,187.06975
2021-09-01,138.78175,102.000885,117.6073,123.48951,131.36192,146.20158,154.074,159.95622,175.56264
2021-10-01,135.4502,98.575325,114.17788,120.07604,127.984955,142.91542,150.82433,156.72249,172.32504
2021-11-01,136.04115,97.77836,114.130516,120.24712,128.3929,143.68944,151.83519,157.9518,174.30396
2021-12-01,143.2292,104.074394,120.55789,126.822365,135.25162,151.20677,159.63603,165.9005,182.384
2022-01-01,135.90503,97.80613,114.11818,120.207886,128.30753,143.50253,151.60217,157.69186,174.00392
2022-02-01,149.74654,88.85801,115.24662,124.97082,137.79546,161.6976,174.52223,184.24644,210.63507
2022-03-01,142.30208,101.11433,119.48072,126.04228,134.52266,150.0815,158.56187,165.12343,183.48982
2022-04-01,144.18465,105.26168,122.09262,128.30984,136.52228,151.84703,160.05945,166.27667,183.10762
2022-05-01,137.96901,98.84204,116.236176,122.47132,130.54758,145.39044,153.4667,159.70186,177.09598
2022-06-01,149.07057,84.69535,112.143166,122.43552,136.1643,161.97682,175.70561,185.99796,213.44577
2022-07-01,148.4756,82.276,110.28288,120.87161,135.07146,161.87976,176.07959,186.66832,214.6752
2022-08-01,146.36607,105.46758,122.88881,129.42807,138.15645,154.5757,163.3041,169.84334,187.26456
2022-09-01,161.34033,114.38284,133.97768,141.49359,151.66739,171.01329,181.18709,188.70299,208.29782
2022-10-01,143.05023,101.77342,118.80233,125.41188,134.42773,151.67273,160.68857,167.29813,184.32703
2022-11-01,142.76219,102.653595,119.3447,125.76513,134.4721,151.05226,159.75925,166.17967,182.87079
2022-12-01,156.36255,92.268,119.14743,129.40398,143.24086,169.48424,183.32112,193.57767,220.4571
2023-01-01,159.16689,103.664925,126.47433,135.36281,147.51857,170.81519,182.97093,191.85942,214.66882
