timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,162.96783,125.60078,147.14449,152.71347,158.51172,167.42395,173.2222,178.79118,200.3349
2020-09-01,163.5732,118.462715,144.5044,151.22331,158.20984,168.93655,175.92307,182.64201,208.68369
2020-10-01,165.66803,113.33627,143.54507,151.33978,159.44534,171.89072,179.99628,187.79097,217.99977
2020-11-01,167.19513,111.71861,143.72878,151.99358,160.59175,173.79851,182.39667,190.66148,222.67165
2020-12-01,169.32884,106.95033,142.96677,152.25693,161.9154,176.7423,186.40077,195.69092,231.70735
2021-01-01,170.37448,102.37261,141.69873,151.81868,162.32297,178.426,188.9303,199.05025,238.37636
2021-02-01,171.38866,105.11174,143.37308,153.24455,163.509,179.2683,189.53275,199.40422,237.66557
2021-03-01,169.03055,99.98666,139.86963,150.15025,160.83363,177.22745,187.91081,198.19145,238.07442
2021-04-01,168.52821,97.47036,138.46022,149.04764,160.06499,176.99144,188.0088,198.5962,239.58606
2021-05-01,167.06827,97.37668,137.57848,147.96231,158.7678,175.36873,186.17421,196.55804,236.75986
2021-06-01,167.4769,93.23812,136.13718,147.18947,158.67061,176.2832,187.76434,198.81662,241.7157
2021-07-01,167.59738,90.07414,134.81046,146.35913,158.37225,176.82251,188.83565,200.38431,245.12064
2021-08-01,166.5509,83.00793,131.24382,143.68611,156.62186,176.47993,189.41568,201.85799,250.09389
2021-09-01,167.37198,78.01056,129.65176,142.955,156.7735,177.97044,191.78894,205.09218,256.7334
2021-10-01,168.10425,74.90254,128.80656,142.67616,157.07126,179.13725,193.53235,207.40195,261.30597
2021-11-01,169.42212,65.572975,125.586,141.04608,157.10512,181.73914,197.79816,213.25826,273.27127
2021-12-01,170.76772,63.38597,125.47278,141.4548,158.0473,183.48814,200.08064,216.06267,278.14948
2022-01-01,173.25778,63.141014,126.72331,143.12291,160.17203,186.34354,203.39265,219.79227,283.37454
