timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,201.37976,165.42694,186.26096,191.60622,197.14319,205.61635,211.1533,216.49857,237.3326
2023-09-01,201.36957,161.35352,184.54524,190.4942,196.65567,206.08347,212.24493,218.1939,241.3856
2023-10-01,201.13583,155.87799,182.09755,188.82704,195.7996,206.47206,213.44464,220.17412,246.39368
2023-11-01,199.1048,152.25111,179.40512,186.37067,193.58517,204.6244,211.83893,218.80447,245.95848
2023-12-01,198.64061,148.55017,177.56595,185.01442,192.7329,204.54831,212.26677,219.71527,248.73103
2024-01-01,200.16847,148.15263,178.29073,186.02464,194.03706,206.29988,214.31227,222.04622,252.18431
2024-02-01,201.18214,149.46135,179.43452,187.12383,195.0884,207.27591,215.24046,222.92978,252.90295
2024-03-01,200.7182,146.90646,178.0773,186.07921,194.37134,207.06506,215.3572,223.3591,254.52995
2024-04-01,200.33083,145.61104,177.30469,185.44202,193.87534,206.78633,215.21962,223.35696,255.05061
2024-05-01,201.02802,145.04166,177.47647,185.80121,194.42673,207.6293,216.25482,224.57956,257.01437
2024-06-01,201.47693,143.38489,177.04626,185.6833,194.63058,208.32329,217.27057,225.90761,259.56897
2024-07-01,201.40802,143.13309,176.92488,185.58607,194.55185,208.26419,217.22997,225.89116,259.68295
2024-08-01,201.81906,137.84567,174.91629,184.42758,194.2802,209.35793,219.21054,228.72182,265.79245
2024-09-01,202.2611,139.87997,176.04753,185.31966,194.91928,209.60292,219.20253,228.47466,264.6422
2024-10-01,200.5678,136.45224,173.63649,183.16505,193.02719,208.1084,217.97052,227.4991,264.68335
2024-11-01,200.36908,134.89154,172.86531,182.59633,192.66809,208.07005,218.14183,227.87285,265.84662
2024-12-01,202.0763,132.84253,172.99202,183.28162,193.93224,210.22035,220.87097,231.16057,271.3101
2025-01-01,202.30458,130.21828,172.01514,182.72954,193.8217,210.78748,221.87964,232.59402,274.3909
