timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,141.1546,125.425125,134.54384,136.88194,139.30289,143.00632,145.42726,147.76535,156.88408
2021-09-01,139.89696,120.75845,131.85857,134.70277,137.64638,142.14755,145.09116,147.93535,159.03548
2021-10-01,140.90297,119.74345,132.00882,135.15422,138.4114,143.39453,146.6517,149.7971,162.06247
2021-11-01,142.04857,118.79229,132.2812,135.73729,139.31403,144.78311,148.35985,151.81593,165.30486
2021-12-01,141.8503,116.75939,131.308,135.03728,138.8979,144.80269,148.66333,152.3926,166.94121
2022-01-01,141.69034,115.56553,130.71553,134.59824,138.61719,144.76347,148.78244,152.66515,167.81516
2022-02-01,142.19356,115.50774,130.9863,134.95198,139.05598,145.33115,149.43513,153.40082,168.87938
2022-03-01,143.2741,115.03752,131.40973,135.60658,139.95137,146.5968,150.94159,155.13846,171.51067
2022-04-01,144.40302,114.84361,131.98271,136.3762,140.92459,147.88145,152.42982,156.82332,173.96242
2022-05-01,143.84424,113.70683,131.18434,135.66335,140.29936,147.38911,152.02513,156.50414,173.98163
2022-06-01,143.20929,110.85602,129.61752,134.42596,139.40327,147.01532,151.99261,156.80106,175.56258
2022-07-01,142.57475,109.26184,128.59393,133.54324,138.6626,146.48692,151.60626,156.55559,175.88766
2022-08-01,142.7262,107.72314,128.02025,133.22264,138.60799,146.8444,152.22975,157.43214,177.72926
2022-09-01,142.71825,106.69447,127.59498,132.94765,138.48547,146.951,152.48883,157.84149,178.742
2022-10-01,143.49367,107.19073,128.25664,133.65036,139.22974,147.75761,153.33698,158.7307,179.79662
2022-11-01,143.91109,108.899925,129.21896,134.42043,139.80019,148.02197,153.40173,158.60318,178.92224
2022-12-01,144.8866,109.62339,130.0865,135.32567,140.74504,149.02817,154.44753,159.6867,180.14983
2023-01-01,145.57613,108.952866,130.20663,135.64769,141.27551,149.87674,155.50456,160.94563,182.19939
