timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,173.92868,148.17024,163.09985,166.9291,170.89484,176.96252,180.92827,184.7575,199.68712
2023-09-01,173.60153,146.0651,162.02855,166.1217,170.35986,176.84322,181.08138,185.17453,201.13797
2023-10-01,173.2587,141.75444,160.01208,164.69577,169.54703,176.97037,181.82162,186.50531,204.76295
2023-11-01,173.24226,139.46251,159.04665,164.06767,169.26624,177.2183,182.41687,187.43788,207.02203
2023-12-01,172.75139,139.08176,158.59482,163.60036,168.78485,176.71791,181.90242,186.90796,206.42102
2024-01-01,173.9819,138.39922,159.02422,164.31377,169.79155,178.17224,183.65002,188.93958,209.56458
2024-02-01,173.53018,134.94533,157.31496,163.05023,168.98843,178.07195,184.01013,189.7454,212.11504
2024-03-01,173.72267,133.64725,156.87143,162.82947,169.00084,178.4445,184.61588,190.5739,213.79808
2024-04-01,173.85904,132.47064,156.45679,162.6099,168.98303,178.73505,185.10818,191.26129,215.24744
2024-05-01,174.42503,131.50163,156.38065,162.76155,169.36977,179.4803,186.08852,192.46942,217.34843
2024-06-01,175.56926,133.08789,157.71394,164.02873,170.5676,180.5709,187.10977,193.42456,218.05063
2024-07-01,174.93741,129.49663,155.85689,162.60927,169.59628,180.27855,187.26556,194.01794,220.3782
2024-08-01,174.64491,128.09383,155.0801,161.99971,169.1646,180.12521,187.2901,194.20973,221.196
2024-09-01,174.41289,128.2208,155.01187,161.87653,168.98103,179.84473,186.94925,193.81389,220.60498
2024-10-01,174.19672,127.6456,154.65198,161.5691,168.72604,179.66739,186.82433,193.74146,220.74785
2024-11-01,174.88728,127.25685,154.89017,161.96759,169.29013,180.48444,187.80698,194.88438,222.51772
2024-12-01,175.29903,121.05996,152.52577,160.58536,168.92453,181.67352,190.0127,198.07228,229.5381
2025-01-01,175.70035,118.0711,151.50024,160.06401,168.92578,182.47493,191.3367,199.90047,233.3296
