timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,165.07701,161.32654,163.54648,163.55237,164.04042,165.75066,166.67664,166.80154,170.84245
2021-09-01,165.19057,160.93983,163.28923,163.49768,163.94106,166.14827,167.26662,167.93777,172.27779
2021-10-01,165.27594,160.72685,163.0993,163.39966,163.91148,166.45834,167.7179,168.68248,173.19379
2021-11-01,165.37411,160.65987,162.98267,163.3554,163.93648,166.7289,168.072,169.2286,173.80368
2021-12-01,165.48863,160.68196,162.93475,163.37173,164.00783,166.99797,168.38896,169.69823,174.28723
2022-01-01,166.56233,160.11543,163.09744,163.5802,164.927,168.3129,170.60106,171.98889,177.45236
2022-02-01,166.94925,160.40552,163.34377,163.8122,165.17784,168.79193,171.13637,172.61243,178.06815
2022-03-01,167.3042,160.68263,163.59404,164.07419,165.43385,169.21443,171.58809,173.16222,178.57913
2022-04-01,167.60173,160.86662,163.76907,164.28584,165.63731,169.5766,171.9787,173.67265,179.05673
2022-05-01,167.84769,160.93257,163.84721,164.42117,165.78386,169.8961,172.344,174.17192,179.55376
2022-06-01,168.05182,160.88899,163.83383,164.48105,165.87915,170.19398,172.71118,174.67685,180.10193
2022-07-01,168.2236,160.76541,163.75198,164.48216,165.93509,170.48189,173.09319,175.19943,180.71695
2022-08-01,168.37,160.60663,163.63463,164.45264,165.96823,170.76083,173.4849,175.73721,181.38326
2022-09-01,168.49593,160.47446,163.52335,164.43118,165.99892,171.02402,173.86086,176.26411,182.04257
2022-10-01,168.60509,160.42429,163.45502,164.45091,166.04578,171.26006,174.18793,176.73898,182.61826
2022-11-01,168.69865,160.47903,163.44756,164.52338,166.11823,171.45872,174.44301,177.12546,183.05493
2022-12-01,168.7779,160.63327,163.50253,164.64346,166.21771,171.61658,174.62086,177.40703,183.33498
2023-01-01,169.78871,159.67877,163.4558,164.4293,166.73117,172.75282,176.84242,179.35297,186.41972
