timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,181.67842,175.12259,177.71242,178.99371,180.58488,182.92946,184.3367,185.67474,190.28853
2021-09-01,181.64857,174.92142,177.69379,178.7195,180.28894,183.07292,184.78343,186.14716,190.64989
2021-10-01,182.04192,174.70749,177.75322,178.69794,180.30173,183.69568,185.62543,187.15547,192.14667
2021-11-01,183.01595,174.63217,177.91864,179.22954,180.94489,184.83388,186.78691,188.62833,194.49126
2021-12-01,183.68533,174.27023,177.76173,179.56866,181.3825,185.77625,187.56949,189.88966,196.27838
2022-01-01,184.0201,174.37556,177.10287,179.3323,181.6612,186.54546,189.6532,192.2655,198.62283
2022-02-01,184.65077,174.2032,177.20982,179.46245,182.20287,187.54369,190.97461,193.85411,200.85417
2022-03-01,185.16656,174.03583,177.24896,179.5542,182.60709,188.34563,191.99309,195.06409,202.7885
2022-04-01,185.64954,173.86763,177.27106,179.65414,182.90689,189.06517,192.835,196.05452,204.51695
2022-05-01,186.28864,173.65761,177.22742,179.73425,183.15927,189.90944,193.8332,197.18582,206.54013
2022-06-01,187.02702,173.37508,177.07593,179.75096,183.34491,190.83719,194.98889,198.44678,208.83289
2022-07-01,187.47433,173.04173,176.90433,179.76138,183.45053,191.53853,195.85628,199.42397,210.617
2022-08-01,187.45276,172.04707,176.28621,179.36038,183.4125,192.25145,197.00409,200.84052,212.87967
2022-09-01,187.15755,171.13213,175.60956,178.69954,183.06607,192.41739,197.46689,201.4053,214.129
2022-10-01,186.94997,171.0052,175.54,178.50629,182.84583,192.10854,196.92038,200.75984,213.47824
2022-11-01,186.71594,170.99661,175.56743,178.49762,182.65378,191.61093,195.98544,199.66441,211.9888
2022-12-01,186.48878,170.91583,175.49078,178.46733,182.41724,191.06245,194.95497,198.49883,210.26031
2023-01-01,187.14252,170.5596,174.02454,177.51692,182.42114,192.22827,197.22722,200.53479,211.6714
