timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,174.03864,158.64603,163.181,165.85356,169.51488,177.31697,181.22745,184.19388,190.65506
2022-09-01,174.01268,157.51064,162.1221,165.12248,169.00314,177.78568,182.55705,185.56654,191.42114
2022-10-01,173.60062,156.34973,160.94974,164.2627,168.32404,177.62614,182.89159,185.98982,191.76518
2022-11-01,173.17027,155.60149,160.08878,163.64848,167.79164,177.27374,182.7509,185.95074,191.82484
2022-12-01,172.78372,155.12122,159.45248,163.20183,167.37465,176.86685,182.42136,185.70535,191.73201
2023-01-01,174.56815,158.89519,163.14784,165.382,170.09619,179.25462,185.07578,187.23787,188.88571
2023-02-01,174.742,158.93115,163.40646,165.7818,170.38507,179.42097,185.22365,187.225,189.11948
2023-03-01,174.83226,158.85466,163.50365,165.97177,170.52434,179.47543,185.26129,187.18962,189.31296
2023-04-01,174.86374,158.71895,163.50517,166.06352,170.56491,179.4679,185.23384,187.13405,189.51364
2023-05-01,174.84848,158.55367,163.43759,166.0937,170.53015,179.41306,185.15935,187.06361,189.72606
2023-06-01,174.79317,158.3732,163.31241,166.07587,170.43448,179.31558,185.04526,186.98302,189.94882
2023-07-01,174.70282,158.18385,163.13441,166.016,170.28894,179.17868,184.89473,186.89471,190.1769
2023-08-01,174.58112,157.98625,162.90424,165.91428,170.1018,179.00436,184.70915,186.79846,190.403
2023-09-01,174.43074,157.77611,162.62077,165.76663,169.87878,178.79341,184.48877,186.69078,190.61766
2023-10-01,174.25342,157.54558,162.28316,165.5688,169.62378,178.54605,184.23184,186.56348,190.80815
2023-11-01,174.0503,157.28737,161.89423,165.31767,169.33966,178.26146,183.93619,186.40518,190.95895
2023-12-01,173.82324,156.99988,161.46376,165.01509,169.03029,177.93929,183.6008,186.20364,191.05244
2024-01-01,174.92838,159.70581,163.86429,166.0916,170.80893,179.38487,185.18228,187.0806,188.35448
