timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,142.90903,137.22223,140.4196,141.72414,142.44943,143.40292,143.77582,144.92009,153.02817
2019-09-01,142.946,137.47449,140.63245,141.68506,142.42259,143.42732,143.9858,145.35046,153.40715
2019-10-01,143.17278,137.65349,140.8675,141.73225,142.5162,143.60562,144.32806,145.85129,153.89667
2019-11-01,143.3835,137.65628,140.97421,141.7081,142.57922,143.84453,144.71542,146.31793,154.4142
2019-12-01,143.61438,137.50314,140.97618,141.60112,142.62718,144.17284,145.23712,146.89497,155.06436
2020-01-01,144.34012,138.41537,140.7421,142.23033,143.23366,145.53311,147.09714,148.4414,154.1557
2020-02-01,144.67625,138.39464,140.95335,142.4116,143.47484,145.87425,147.54497,148.90736,154.93604
2020-03-01,145.00276,138.41035,141.17847,142.60965,143.72061,146.1866,147.93427,149.34483,155.60553
2020-04-01,145.30515,138.45119,141.40446,142.81395,143.95416,146.4556,148.25693,149.72275,156.17397
2020-05-01,145.57889,138.50967,141.62564,143.01521,144.16876,146.67993,148.5139,150.03455,156.64691
2020-06-01,145.82191,138.5789,141.83597,143.20413,144.36107,146.8625,148.7132,150.28693,157.03555
2020-07-01,146.03677,138.65327,142.03079,143.37384,144.53119,147.01022,148.87016,150.49736,157.3568
2020-08-01,146.23141,138.73026,142.20995,143.51944,144.68307,147.13708,149.01349,150.70091,157.63556
2020-09-01,146.41925,138.80867,142.37704,143.63745,144.82542,147.2662,149.18716,150.95398,157.90277
2020-10-01,146.6177,138.8856,142.53584,143.72229,144.969,147.43059,149.45387,151.34021,158.19803
2020-11-01,146.83525,138.94017,142.67104,143.75807,145.11206,147.6662,149.87968,151.94922,158.56932
2020-12-01,147.05511,138.89226,142.70804,143.70206,145.21384,148.0136,150.51979,152.85591,159.09044
2021-01-01,147.72548,139.44376,142.05658,143.95969,145.81422,149.55215,152.6818,154.81982,158.51555
