timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,169.39983,152.6,159.53374,161.88203,166.55717,172.40129,175.79453,177.19107,180.15855
2020-09-01,169.27223,152.4576,159.543,161.83388,166.47801,172.34523,175.61781,177.0437,180.26443
2020-10-01,169.16095,152.35593,159.5557,161.77887,166.4125,172.28627,175.46936,176.87418,180.33087
2020-11-01,169.05281,152.2608,159.56827,161.72531,166.34743,172.23425,175.31729,176.68471,180.37796
2020-12-01,168.95296,152.16267,159.59377,161.68274,166.28401,172.19543,175.15352,176.48224,180.41196
2021-01-01,170.24257,153.50082,160.34204,162.70872,167.1019,172.58116,176.51456,177.73598,179.25089
2021-02-01,170.24554,153.35843,160.37354,162.72238,167.10684,172.67311,176.43445,177.68375,179.39331
2021-03-01,170.2544,153.22377,160.38927,162.73354,167.10973,172.75864,176.34834,177.65979,179.51497
2021-04-01,170.2703,153.10455,160.38495,162.73811,167.10927,172.83798,176.2589,177.66411,179.61671
2021-05-01,170.2954,153.0068,160.36137,162.73856,167.10815,172.91385,176.16887,177.69574,179.69691
2021-06-01,170.31929,152.92688,160.32443,162.73413,167.10765,172.98389,176.07642,177.73988,179.75853
2021-07-01,170.32304,152.85219,160.28148,162.71938,167.10507,173.04117,175.97684,177.77115,179.81068
2021-08-01,170.29575,152.77133,160.23741,162.6895,167.09338,173.07922,175.86644,177.76949,179.86264
2021-09-01,170.23865,152.68013,160.19423,162.64398,167.06567,173.09473,175.74364,177.72789,179.91829
2021-10-01,170.15787,152.58008,160.15291,162.5857,167.02028,173.08807,175.60837,177.6492,179.976
2021-11-01,170.0589,152.47499,160.1144,162.51826,166.96014,173.06197,175.46129,177.53966,180.0315
2021-12-01,169.9456,152.36844,160.07939,162.44458,166.88913,173.01947,175.30319,177.40489,180.08067
2022-01-01,171.02342,153.78256,160.7358,163.34937,167.56114,173.13916,176.3969,178.3799,178.69202
