timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,136.75824,134.61874,135.3432,135.58043,136.09692,137.45508,138.14159,138.76697,142.0106
2018-09-01,136.57002,134.48184,135.12997,135.38763,135.80113,137.32002,137.88449,138.62526,141.89685
2018-10-01,136.53127,134.41724,135.03867,135.31093,135.70494,137.3027,137.84248,138.64078,141.84782
2018-11-01,136.52242,134.3715,134.97794,135.26424,135.65921,137.29887,137.843,138.68146,141.79385
2018-12-01,136.50783,134.32288,134.916,135.2173,135.61876,137.28398,137.83829,138.70724,141.72133
2019-01-01,137.04947,135.03653,135.53694,135.85023,136.12015,137.93465,138.56458,139.20834,142.18132
2019-02-01,137.24811,135.12978,135.64835,135.94608,136.30067,138.13345,138.8559,139.48088,142.2807
2019-03-01,137.35187,135.16219,135.68846,135.97646,136.38826,138.25398,139.0264,139.6501,142.3255
2019-04-01,137.38731,135.14497,135.67433,135.95702,136.40846,138.3161,139.11139,139.74844,142.33615
2019-05-01,137.37952,135.09422,135.6236,135.90509,136.38559,138.33957,139.1427,139.8026,142.32173
2019-06-01,137.34523,135.02307,135.54932,135.83333,136.33621,138.33846,139.1417,139.82883,142.28598
2019-07-01,137.29614,134.94284,135.46262,135.75197,136.27289,138.32124,139.12125,139.83543,142.23192
2019-08-01,137.23923,134.86159,135.37187,135.66841,136.204,138.29106,139.08662,139.82492,142.163
2019-09-01,137.17729,134.78307,135.28154,135.58644,136.13344,138.24774,139.0381,139.7969,142.08234
2019-10-01,137.11136,134.70825,135.19305,135.50745,136.0626,138.19078,138.975,139.75146,141.992
2019-11-01,137.04185,134.63646,135.10617,135.43115,135.99161,138.12064,138.89795,139.68968,141.89313
2019-12-01,136.96957,134.56712,135.02063,135.35727,135.92065,138.03915,138.80904,139.61406,141.78639
2020-01-01,137.5708,135.37671,135.7217,136.06941,136.51613,138.68588,139.59726,140.11,142.23877
