timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,146.7827,139.61496,143.74883,145.39911,146.69174,147.68182,148.80786,152.5225,164.51802
2021-09-01,146.8587,139.81049,143.88396,145.46288,146.80965,147.7686,148.87737,152.60715,164.41312
2021-10-01,146.97318,139.86647,143.90112,145.48645,146.8685,147.82933,149.00589,152.74098,164.32916
2021-11-01,147.07635,139.8348,143.84323,145.4604,146.86618,147.86086,149.1306,152.8723,164.23395
2021-12-01,147.13518,139.763,143.74602,145.3998,146.83409,147.86038,149.21237,152.97275,164.12463
2022-01-01,148.00557,141.81479,144.96298,146.38786,147.48885,149.16562,150.67122,153.50113,164.36353
2022-02-01,148.38194,141.84137,145.0421,146.53462,147.77332,149.60687,151.25847,154.06331,164.6349
2022-03-01,148.75961,141.85791,145.08047,146.63412,148.02286,150.1059,151.91519,154.69263,164.90555
2022-04-01,149.13245,141.86427,145.07736,146.69504,148.24063,150.63486,152.61763,155.35976,165.14706
2022-05-01,149.48225,141.86565,145.04236,146.72256,148.42241,151.15463,153.31703,156.01443,165.3265
2022-06-01,149.79117,141.86063,144.98535,146.71788,148.56319,151.62418,153.96109,156.60457,165.42628
2022-07-01,150.04228,141.84119,144.91121,146.67996,148.65709,152.01091,154.50658,157.09282,165.4477
2022-08-01,150.22105,141.79651,144.81857,146.60652,148.69785,152.29524,154.92548,157.46158,165.40475
2022-09-01,150.31812,141.71881,144.70323,146.49579,148.68077,152.47049,155.20557,157.7105,165.31451
2022-10-01,150.33043,141.60435,144.56094,146.34651,148.60393,152.53978,155.34824,157.84917,165.19156
2022-11-01,150.26085,141.45198,144.38867,146.15752,148.46794,152.51236,155.36487,157.89062,165.04637
2022-12-01,150.11784,141.26372,144.18547,145.92955,148.27641,152.40259,155.27295,157.85037,164.88434
2023-01-01,151.04936,143.26337,145.3014,146.95082,148.97783,153.56566,156.72565,158.22304,164.91821
