timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,133.91948,132.57042,133.22495,133.43741,133.46341,134.42151,137.4225,139.54913,141.82843
2018-09-01,133.73494,132.49518,133.14836,133.35791,133.3149,134.21803,137.2729,139.40324,141.76256
2018-10-01,133.62753,132.44699,133.11214,133.294,133.23152,134.07828,137.1625,139.29007,141.74077
2018-11-01,133.55714,132.40681,133.09978,133.25809,133.19528,133.98235,137.07033,139.19777,141.75415
2018-12-01,133.50742,132.37378,133.10501,133.23856,133.18556,133.91588,136.99634,139.12553,141.78479
2019-01-01,134.40332,133.0358,133.57617,133.89806,133.91508,135.12143,138.0442,140.19133,141.78801
2019-02-01,134.42635,132.98637,133.61441,133.90967,133.9669,135.11856,138.0269,140.1698,141.97652
2019-03-01,134.41681,132.93398,133.63179,133.90366,133.98572,135.0903,137.99208,140.13123,142.11142
2019-04-01,134.38408,132.87793,133.62881,133.8811,133.97719,135.03647,137.94012,140.07294,142.20326
2019-05-01,134.33699,132.82112,133.61302,133.84717,133.95088,134.96588,137.87636,140.00151,142.26424
2019-06-01,134.28308,132.76662,133.59169,133.80788,133.91551,134.88806,137.80618,139.92366,142.30472
2019-07-01,134.22871,132.71709,133.56998,133.76888,133.87825,134.81184,137.7349,139.84528,142.3335
2019-08-01,134.18082,132.67545,133.55229,133.73709,133.84663,134.7476,137.66867,139.77304,142.36034
2019-09-01,134.14894,132.64597,133.54378,133.72295,133.83087,134.71048,137.61629,139.7165,142.39877
2019-10-01,134.14618,132.63464,133.5507,133.74149,133.84459,134.7219,137.59015,139.68896,142.4667
2019-11-01,134.18318,132.64537,133.57703,133.80385,133.8968,134.79811,137.60095,139.69922,142.57559
2019-12-01,134.2502,132.6705,133.61607,133.89389,133.97229,134.91843,137.64114,139.73248,142.70622
2020-01-01,135.3023,133.42975,134.14958,134.63965,134.78531,136.32002,138.80072,140.82262,142.67604
