timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,149.22302,146.47444,147.16273,147.33424,148.25415,150.40616,152.55107,155.33641,158.17152
2019-09-01,149.29831,146.42802,147.16437,147.35675,148.24974,150.42177,152.54393,155.23941,158.26733
2019-10-01,149.41719,146.44943,147.21126,147.41512,148.32678,150.48929,152.55557,155.18936,158.3276
2019-11-01,149.60522,146.53998,147.32391,147.51428,148.46365,150.62721,152.62976,155.18524,158.38264
2019-12-01,149.88293,146.71149,147.52496,147.6776,148.68018,150.8628,152.80464,155.2254,158.42241
2020-01-01,151.04184,147.87077,148.34776,149.08832,150.00487,152.4113,153.81552,155.56418,157.11282
2020-02-01,151.31534,147.93265,148.51167,149.15852,150.1645,152.51923,153.99483,155.57895,157.21616
2020-03-01,151.44888,147.92758,148.59154,149.14879,150.21364,152.53528,154.09251,155.59122,157.32114
2020-04-01,151.50044,147.89587,148.62123,149.09499,150.19926,152.51207,154.13812,155.59584,157.42725
2020-05-01,151.56705,147.87363,148.65355,149.05328,150.18172,152.52028,154.18814,155.57785,157.49864
2020-06-01,151.7161,147.88152,148.72498,149.06856,150.20078,152.61469,154.28146,155.519,157.49808
2020-07-01,151.87813,147.88773,148.80144,149.1144,150.22876,152.73247,154.37465,155.43295,157.45715
2020-08-01,151.95113,147.85927,148.8311,149.12354,150.21748,152.77379,154.40878,155.36603,157.4542
2020-09-01,151.94958,147.8096,148.82333,149.08672,150.17107,152.74432,154.39516,155.32744,157.49484
2020-10-01,151.91476,147.7529,148.79922,149.02666,150.10802,152.68196,154.35915,155.3013,157.55193
2020-11-01,151.86746,147.69414,148.76872,148.9593,150.0387,152.60767,154.3135,155.27744,157.61009
2020-12-01,151.8157,147.63521,148.73578,148.89134,149.96753,152.52977,154.26347,155.2525,157.66379
2021-01-01,152.28001,148.35759,149.08878,149.79466,150.6861,153.38927,154.65292,155.23666,156.20552
