timestamp,q_0.05,q_0.95,q_0.5
2021-08-01,158.7,158.7,158.7
2021-09-01,157.3,157.3,157.3
2021-10-01,156.5,156.5,156.5
2021-11-01,155.8,155.8,155.8
2021-12-01,155.1,155.1,155.1
2022-01-01,154.5,154.5,154.5
2022-02-01,153.9,153.9,153.9
2022-03-01,153.3,153.3,153.3
2022-04-01,152.8,152.8,152.8
2022-05-01,152.3,152.3,152.3
2022-06-01,151.8,151.8,151.8
2022-07-01,151.4,151.4,151.4
2022-08-01,151.0,151.0,151.0
2022-09-01,150.6,150.6,150.6
2022-10-01,150.2,150.2,150.2
2022-11-01,149.8,149.8,149.8
2022-12-01,149.4,149.4,149.4
