timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,157.1272,134.02972,143.22095,146.92215,152.09232,162.16206,167.33223,171.03343,180.22466
2020-09-01,159.80052,135.4828,145.60901,149.5016,154.77821,164.82283,170.09943,173.99202,184.11823
2020-10-01,162.95676,135.57239,146.94273,151.32672,157.281,168.63252,174.58682,178.97078,190.34114
2020-11-01,163.10803,135.733,146.83144,151.21698,157.26884,168.94722,174.99908,179.38463,190.48306
2020-12-01,164.33057,138.83713,149.35419,153.43639,159.00491,169.65623,175.22475,179.30698,189.82402
2021-01-01,162.97424,135.50766,147.18338,151.57553,157.44633,168.50217,174.37296,178.76512,190.44084
2021-02-01,167.53365,142.42155,152.45363,156.47752,162.0842,172.98311,178.58977,182.61366,192.64574
2021-03-01,165.85144,138.02142,149.39531,153.8529,159.97162,171.73125,177.84996,182.30756,193.68144
2021-04-01,169.0683,143.26233,153.88905,158.02156,163.6655,174.47112,180.11505,184.24754,194.87428
2021-05-01,169.84955,144.49876,154.7416,158.80312,164.42041,175.27869,180.89598,184.9575,195.20035
2021-06-01,172.65012,147.51746,157.81819,161.84344,167.35826,177.94199,183.4568,187.48206,197.78279
2021-07-01,173.2267,148.15646,158.1701,162.1873,167.78526,178.66814,184.2661,188.2833,198.29694
2021-08-01,172.94096,144.27911,156.37395,160.95908,167.11867,178.76328,184.92287,189.50798,201.60281
2021-09-01,172.96443,146.2135,157.17471,161.45917,167.33011,178.59875,184.4697,188.75415,199.71535
2021-10-01,175.01085,148.81178,159.49849,163.69507,169.46286,180.55884,186.32661,190.52321,201.2099
2021-11-01,174.33157,147.46176,158.07994,162.38576,168.42767,180.23547,186.27737,190.5832,201.20139
2021-12-01,173.67776,146.31107,157.04475,161.43016,167.61353,179.742,185.92535,190.31078,201.04446
2022-01-01,177.27603,148.65997,159.90662,164.49226,170.9495,183.60257,190.0598,194.64543,205.89209
