timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,158.0629,138.82202,149.94598,152.8098,155.7832,160.34258,163.316,166.17981,177.30377
2019-09-01,157.25012,138.49179,149.34001,152.13158,155.02916,159.4711,162.36865,165.16025,176.00847
2019-10-01,157.39513,136.52118,148.58469,151.69211,154.91972,159.87051,163.09813,166.20555,178.26906
2019-11-01,158.11868,136.07428,148.83206,152.11154,155.51308,160.7243,164.12584,167.40532,180.16309
2019-12-01,158.27649,135.58179,148.7101,152.08704,155.5912,160.96178,164.46594,167.84288,180.97119
2020-01-01,159.28876,136.95549,149.88,153.2025,156.64879,161.92873,165.375,168.69751,181.62201
2020-02-01,159.61511,133.74348,148.72682,152.57436,156.56223,162.668,166.65587,170.5034,185.48674
2020-03-01,158.86792,131.20695,147.21918,151.33372,155.60034,162.13548,166.40211,170.51666,186.52887
2020-04-01,158.90396,129.54282,146.54044,150.90775,155.43613,162.3718,166.90019,171.2675,188.2651
2020-05-01,159.05278,127.019745,145.56636,150.33083,155.27042,162.83513,167.77473,172.53918,191.08582
2020-06-01,159.15144,120.38918,142.83606,148.60088,154.57649,163.72638,169.702,175.46681,197.9137
2020-07-01,157.90613,121.33223,142.53403,147.97064,153.60013,162.21213,167.8416,173.27823,194.48001
2020-08-01,162.02046,123.98718,146.00975,151.66643,157.53053,166.51039,172.3745,178.03117,200.05374
2020-09-01,162.05615,123.33737,145.78055,151.53625,157.49667,166.61563,172.57603,178.33176,200.77493
2020-10-01,162.32883,127.0582,147.50748,152.75,158.1777,166.47995,171.90764,177.15018,197.59946
2020-11-01,161.58902,122.14905,145.02028,150.88194,156.94942,166.22862,172.29608,178.15776,201.02899
2020-12-01,161.477,122.20574,144.97336,150.81067,156.85448,166.09955,172.14336,177.98067,200.74829
2021-01-01,160.64429,122.36145,144.55692,150.24721,156.13853,165.15005,171.04137,176.73166,198.92714
