timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,134.89595,123.42505,129.7688,131.50903,133.39548,136.39642,138.28287,140.0231,146.36685
2018-09-01,135.42323,123.59801,130.10252,131.9002,133.85876,136.9877,138.94627,140.74394,147.24846
2018-10-01,135.55112,122.868576,129.88106,131.80525,133.8915,137.21075,139.29698,141.22119,148.23367
2018-11-01,135.52414,121.80931,129.4574,131.53125,133.76176,137.28653,139.51703,141.59088,149.23897
2018-12-01,136.06331,121.99871,129.78134,131.9146,134.22581,137.9008,140.21204,142.34528,150.12791
2019-01-01,135.72665,120.57546,129.02191,131.31325,133.77838,137.67491,140.14006,142.43138,150.87784
2019-02-01,135.91339,119.89235,128.91286,131.32587,133.89738,137.92941,140.50092,142.91394,151.93445
2019-03-01,136.16495,120.65128,129.1532,131.51486,134.09668,138.2332,140.81505,143.1767,151.6786
2019-04-01,137.1546,120.4074,129.70601,132.24277,134.98239,139.32681,142.06644,144.6032,153.90181
2019-05-01,137.26341,119.69926,129.41318,132.07777,134.96611,139.5607,142.44904,145.11363,154.82756
2019-06-01,137.21848,118.68073,129.02518,131.82756,134.83974,139.59721,142.60938,145.41176,155.75621
2019-07-01,137.42607,116.96504,128.54314,131.61833,134.87971,139.97244,143.23383,146.30902,157.8871
2019-08-01,137.53044,116.160446,128.2562,131.46762,134.87259,140.18831,143.59326,146.80469,158.90044
2019-09-01,136.66342,115.38175,127.274895,130.49017,133.9413,139.38556,142.83669,146.05196,157.9451
2019-10-01,136.74529,114.81057,127.20375,130.5026,134.0063,139.48427,142.98799,146.28683,158.68001
2019-11-01,136.32355,113.6971,126.467896,129.87225,133.49168,139.1554,142.77483,146.17918,158.95
2019-12-01,136.23402,112.721985,126.01895,129.55356,133.30426,139.16379,142.91447,146.4491,159.74606
2020-01-01,137.76897,113.03738,127.13758,130.84239,134.74277,140.79518,144.69556,148.40036,162.50056
