timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,153.20619,135.66008,145.3506,148.01389,150.90454,155.50784,158.3985,161.06178,170.7523
2022-09-01,153.34904,134.82706,145.01486,147.83063,150.89847,155.79962,158.86746,161.68324,171.87103
2022-10-01,153.8316,134.31612,145.08914,148.05188,151.26903,156.39418,159.61133,162.57407,173.34709
2022-11-01,156.18149,135.49803,146.96501,150.09985,153.49017,158.8728,162.26312,165.39796,176.86496
2022-12-01,158.94234,137.65314,149.3955,152.62856,156.14194,161.74274,165.25612,168.48917,180.23154
2023-01-01,157.46959,136.16426,147.9446,151.17703,154.68166,160.25754,163.76215,166.99458,178.77492
2023-02-01,156.73398,134.12422,146.69226,150.11551,153.80852,159.65945,163.35246,166.77571,179.34373
2023-03-01,156.32233,133.5162,145.99536,149.46912,153.27214,159.3725,163.17552,166.64928,179.12843
2023-04-01,154.04242,129.07408,142.76035,146.56097,150.71515,157.3697,161.52386,165.3245,179.01074
2023-05-01,156.23273,132.00073,145.21765,148.9129,152.97038,159.49509,163.55257,167.24782,180.46474
2023-06-01,156.98602,132.27621,145.85794,149.61539,153.7119,160.26013,164.35666,168.1141,181.69583
2023-07-01,159.739,133.80089,148.24585,152.17012,156.39622,163.08177,167.30786,171.23213,185.6771
2023-08-01,158.45653,131.59117,146.48613,150.55783,154.96117,161.95189,166.35521,170.42693,185.32188
2023-09-01,160.28273,133.53763,148.26811,152.33194,156.75406,163.8114,168.23354,172.29736,187.02785
2023-10-01,159.93181,132.32071,147.6888,151.86711,156.36917,163.49445,167.99652,172.17482,187.54291
2023-11-01,160.85875,132.48619,148.24548,152.54256,157.18163,164.53587,169.17494,173.47202,189.23131
2023-12-01,160.32753,131.97377,147.8008,152.08653,156.69171,163.96335,168.56851,172.85426,188.68129
2024-01-01,161.83174,131.09889,148.2965,152.93718,157.91197,165.75153,170.72632,175.367,192.56459
