timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,141.72885,138.29144,139.62991,140.29938,141.09358,142.47095,143.1776,143.77425,145.70541
2021-09-01,141.66504,137.75188,139.19687,139.95,140.90776,142.52863,143.37862,144.0649,146.40771
2021-10-01,141.5172,137.34694,138.82106,139.63899,140.70793,142.47552,143.38963,144.12387,146.78143
2021-11-01,141.38713,137.0921,138.57478,139.42278,140.53786,142.41122,143.3382,144.12077,146.93326
2021-12-01,141.265,136.85101,138.34174,139.21188,140.35855,142.35733,143.30302,144.14772,147.05177
2022-01-01,142.23482,136.93617,139.0163,139.79372,141.2911,143.68393,145.2633,146.38896,149.50278
2022-02-01,142.41338,137.07716,139.15541,139.99107,141.43576,143.88992,145.50502,146.60217,149.91626
2022-03-01,142.52911,137.14894,139.22523,140.13478,141.50294,144.05782,145.67813,146.77228,150.25381
2022-04-01,142.57448,137.17326,139.23215,140.22377,141.4902,144.1687,145.77458,146.8794,150.48413
2022-05-01,142.55707,137.11374,139.14339,140.22652,141.40108,144.23784,145.8325,146.979,150.67691
2022-06-01,142.49844,136.92143,138.92993,140.11505,141.24579,144.30038,145.9131,147.14146,150.92839
2022-07-01,142.40964,136.58693,138.59732,139.89067,141.03328,144.3658,146.02948,147.36757,151.25307
2022-08-01,142.2835,136.17255,138.19691,139.59067,140.77486,144.38658,146.10724,147.55357,151.52888
2022-09-01,142.12138,135.752,137.79044,139.26306,140.49228,144.33267,146.09204,147.62228,151.66074
2022-10-01,141.93454,135.35873,137.40872,138.93535,140.20346,144.21413,145.98788,147.57608,151.64738
2022-11-01,141.73302,134.99643,137.05643,138.61606,139.91714,144.05252,145.82037,147.44887,151.52623
2022-12-01,141.52269,134.66135,136.72815,138.30489,139.6361,143.86159,145.61223,147.27039,151.33334
2023-01-01,142.70761,134.44171,137.1775,138.74953,140.59526,145.24754,147.22556,148.62706,153.0249
