timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,159.72404,141.27103,148.82776,152.14087,155.49858,162.70404,165.50623,169.80408,183.24745
2019-09-01,159.7186,138.94737,146.84387,150.22784,154.28357,164.18054,168.87886,174.11061,187.50325
2019-10-01,159.15865,136.04193,144.24791,148.05115,152.78508,165.10912,171.52591,177.86307,191.27402
2019-11-01,158.14188,133.49596,141.79604,146.07166,151.29793,165.17967,172.80984,180.01831,193.36044
2019-12-01,156.97884,131.60536,139.79,144.39944,149.95221,164.64534,173.03995,180.77975,194.08661
2020-01-01,162.26895,135.26134,143.73032,145.95619,154.46321,171.11322,182.15681,188.47433,198.06506
2020-02-01,162.71202,135.35466,144.09378,146.90479,154.91264,171.49832,182.05074,188.62498,199.61803
2020-03-01,162.90417,135.34055,144.24323,147.56451,155.11665,171.66943,181.86783,188.75703,200.71408
2020-04-01,162.93465,135.19035,144.21489,147.99565,155.14961,171.74506,181.71567,188.88295,201.46274
2020-05-01,162.82167,134.88298,144.0055,148.20355,155.04411,171.74695,181.60846,189.02682,201.94598
2020-06-01,162.53735,134.38438,143.56808,148.15222,154.78474,171.64456,181.51973,189.21294,202.2265
2020-07-01,162.06816,133.73686,142.92004,147.86154,154.36906,171.38507,181.35646,189.36913,202.3037
2020-08-01,161.45891,133.09084,142.1922,147.44675,153.84825,170.92938,180.98495,189.32921,202.14528
2020-09-01,160.78893,132.57796,141.52385,147.02313,153.2976,170.2949,180.35687,188.98886,201.74298
2020-10-01,160.10904,132.20679,140.95139,146.6109,152.75374,169.53699,179.5357,188.37488,201.14151
2020-11-01,159.44252,131.93251,140.45844,146.19772,152.22598,168.71844,178.61954,187.57767,200.40295
2020-12-01,158.8053,131.72581,140.03362,145.78557,151.72119,167.8895,177.68622,186.68692,199.58682
2021-01-01,162.67549,134.46594,142.62389,145.14261,154.82748,172.07495,184.26111,190.72495,199.05884
