timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,141.07018,136.04057,137.77002,139.1403,140.09966,141.80873,142.63393,143.63388,147.68343
2020-09-01,141.04265,135.81784,137.60794,138.8814,139.89413,141.89958,143.0641,144.17313,148.07333
2020-10-01,140.90475,135.51146,137.36182,138.59412,139.62766,141.8696,143.29497,144.47368,148.33331
2020-11-01,140.75845,135.22655,137.11676,138.34657,139.39198,141.82571,143.4376,144.67593,148.51385
2020-12-01,140.60262,134.90433,136.81636,138.08568,139.15477,141.80455,143.57336,144.8859,148.68922
2021-01-01,141.41043,136.23082,137.7445,138.7373,140.06284,143.08627,145.29315,146.75526,148.74184
2021-02-01,141.44214,135.99278,137.55498,138.65657,140.024,143.25677,145.56165,147.07538,149.07991
2021-03-01,141.3821,135.63724,137.23923,138.45773,139.88345,143.37764,145.7823,147.35814,149.35437
2021-04-01,141.2281,135.19366,136.81906,138.16238,139.64685,143.42677,145.92604,147.56871,149.54514
2021-05-01,141.00377,134.7101,136.34221,137.80933,139.34462,143.39624,145.978,147.68188,149.64055
2021-06-01,140.7504,134.24216,135.87369,137.45203,139.02286,143.29575,145.942,147.69112,149.65648
2021-07-01,140.50217,133.82259,135.45595,137.12657,138.71605,143.14685,145.83946,147.61507,149.62521
2021-08-01,140.26909,133.45233,135.09274,136.8378,138.43227,142.96617,145.69113,147.47746,149.5674
2021-09-01,140.04544,133.11893,134.76872,136.57379,138.16408,142.76074,145.50938,147.29451,149.48625
2021-10-01,139.82352,132.81145,134.46948,136.32324,137.9033,142.53384,145.30112,147.07529,149.37744
2021-11-01,139.59897,132.52467,134.1875,136.07973,137.64557,142.28835,145.0715,146.82607,149.23755
2021-12-01,139.37108,132.25757,133.9207,135.8411,137.3902,142.02791,144.82553,146.5528,149.0666
2022-01-01,140.52432,134.24707,135.5284,136.87163,138.8145,143.32419,146.26865,147.86998,148.74242
