timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,152.0377,146.43419,149.31223,150.38672,151.20958,153.0968,153.77153,154.4195,161.55466
2018-09-01,152.23686,146.98793,149.68593,150.5966,151.52354,153.43416,154.17917,155.04385,161.68208
2018-10-01,152.38263,147.19897,149.80334,150.61617,151.71912,153.67334,154.55046,155.5071,161.8831
2018-11-01,152.4693,147.271,149.84258,150.59338,151.85019,153.81387,154.80197,155.80261,162.03833
2018-12-01,152.49312,147.28384,149.83408,150.53954,151.91238,153.8704,154.94296,155.9892,162.10928
2019-01-01,154.00873,148.87733,150.96873,151.82472,153.07669,155.66142,157.00047,158.32585,164.19412
2019-02-01,154.49435,149.24391,151.30235,152.05441,153.55246,156.24518,157.78383,159.38087,164.656
2019-03-01,155.07838,149.53354,151.6713,152.35841,154.04898,156.96133,158.73175,160.58463,165.29279
2019-04-01,155.63876,149.69713,151.96759,152.61215,154.472,157.62596,159.65161,161.72113,165.93428
2019-05-01,156.18822,149.74779,152.20789,152.83601,154.84492,158.2664,160.57646,162.81459,166.5906
2019-06-01,156.68771,149.73021,152.40762,153.0284,155.16072,158.83986,161.43039,163.78362,167.19028
2019-07-01,157.06012,149.69885,152.55994,153.1555,155.38281,159.24512,162.05406,164.46841,167.60426
2019-08-01,157.29597,149.67993,152.66876,153.21857,155.51282,159.47003,162.41553,164.84119,167.80827
2019-09-01,157.43628,149.67563,152.74893,153.24493,155.58438,159.5726,162.59134,164.98807,167.86053
2019-10-01,157.5197,149.68018,152.81104,153.2557,155.62561,159.60701,162.65875,164.99861,167.81956
2019-11-01,157.57188,149.68405,152.85768,153.25804,155.65056,159.60764,162.6718,164.93748,167.72774
2019-12-01,157.61313,149.66954,152.88144,153.24858,155.66435,159.60268,162.67972,164.86363,167.62704
2020-01-01,158.83559,150.34052,153.56824,154.74594,156.96379,161.0382,164.48248,166.69188,168.42224
