timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,185.55806,178.40465,181.02403,182.16826,183.85239,187.26373,188.94786,190.09209,192.71149
2021-09-01,186.24377,178.45651,181.31798,182.5638,184.39354,188.09401,189.92375,191.16957,194.03104
2021-10-01,184.7525,175.90147,179.12074,180.53606,182.62767,186.87735,188.96896,190.38428,193.60355
2021-11-01,186.97896,177.32622,180.89223,182.43686,184.69803,189.25989,191.52106,193.06569,196.6317
2021-12-01,189.17546,180.13004,183.50465,184.95267,187.05965,191.29129,193.39827,194.84628,198.2209
2022-01-01,192.27788,182.82576,186.30205,187.81429,190.0341,194.52165,196.74149,198.25371,201.73
2022-02-01,192.29086,182.09354,185.87375,187.50577,189.88982,194.69191,197.07596,198.70798,202.48819
2022-03-01,187.89696,176.87488,181.03134,182.79642,185.3477,190.4462,192.9975,194.76257,198.91904
2022-04-01,189.0414,176.99854,181.49196,183.41982,186.22481,191.85799,194.66296,196.59084,201.08426
2022-05-01,187.35814,174.562,179.43921,181.48895,184.43204,190.28424,193.22733,195.27707,200.15428
2022-06-01,188.47917,175.65875,180.48526,182.53822,185.50873,191.44962,194.42012,196.47308,201.29959
2022-07-01,192.2412,179.16913,184.15268,186.24664,189.25276,195.22964,198.23575,200.32973,205.31328
2022-08-01,191.13698,176.44658,181.99121,184.34378,187.74242,194.53152,197.93016,200.28273,205.82736
2022-09-01,190.08585,174.72684,180.55739,183.01743,186.55852,193.61317,197.15427,199.6143,205.44484
2022-10-01,191.7029,176.59174,182.40804,184.82909,188.28389,195.12189,198.5767,200.99776,206.81406
2022-11-01,191.95203,176.37796,182.25684,184.75095,188.35376,195.5503,199.1531,201.64722,207.52608
2022-12-01,193.05902,176.61569,182.86726,185.50108,189.28874,196.82932,200.61697,203.2508,209.50237
2023-01-01,197.09236,181.45541,187.50427,190.00975,193.57373,200.611,204.17497,206.68045,212.72932
