timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,164.5,164.5,164.5
2022-09-01,157.2,157.2,157.2
2022-10-01,156.8,156.8,156.8
2022-11-01,169.5,169.5,169.5
2022-12-01,171.5,171.5,171.5
2023-01-01,174.7,174.7,174.7
2023-02-01,176.2,176.2,176.2
2023-03-01,174.2,174.2,174.2
2023-04-01,171.6,171.6,171.6
2023-05-01,178.0,178.0,178.0
2023-06-01,177.0,177.0,177.0
2023-07-01,178.3,178.3,178.3
2023-08-01,172.8,172.8,172.8
2023-09-01,165.3,165.3,165.3
2023-10-01,164.9,164.9,164.9
2023-11-01,177.9,177.9,177.9
2023-12-01,180.0,180.0,180.0
