timestamp,q_0.05,q_0.95,q_0.5
2019-08-01,162.5,162.5,162.5
2019-09-01,162.8,162.8,162.8
2019-10-01,163.2,163.2,163.2
2019-11-01,163.6,163.6,163.6
2019-12-01,164.0,164.0,164.0
2020-01-01,164.4,164.4,164.4
2020-02-01,164.8,164.8,164.8
2020-03-01,165.2,165.2,165.2
2020-04-01,165.6,165.6,165.6
2020-05-01,166.0,166.0,166.0
2020-06-01,166.4,166.4,166.4
2020-07-01,166.8,166.8,166.8
2020-08-01,167.2,167.2,167.2
2020-09-01,167.6,167.6,167.6
2020-10-01,168.0,168.0,168.0
2020-11-01,168.4,168.4,168.4
2020-12-01,168.8,168.8,168.8
