timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,188.87277,158.32965,176.0277,180.5688,185.27309,192.47246,197.17674,201.71783,219.41591
2023-09-01,188.93571,154.8013,174.58223,179.65707,184.9137,192.95772,198.21436,203.28918,223.07011
2023-10-01,189.09364,150.75641,172.96423,178.66496,184.57227,193.615,199.52232,205.22305,227.43088
2023-11-01,187.27315,147.39796,170.5048,176.43323,182.5743,191.972,198.11307,204.04149,227.14833
2023-12-01,186.86385,144.36455,168.9794,175.29953,181.84972,191.87799,198.42818,204.74829,229.36316
2024-01-01,188.48344,144.56458,170.00926,176.53955,183.3055,193.66139,200.42735,206.95764,232.40233
2024-02-01,189.59412,146.02505,171.27174,177.74944,184.45966,194.72858,201.4388,207.91649,233.16316
2024-03-01,189.05202,143.9873,170.08789,176.78955,183.73517,194.36888,201.3145,208.01616,234.11674
2024-04-01,188.5832,142.80809,169.3173,176.12495,183.18117,193.98523,201.04146,207.8491,234.3583
2024-05-01,189.45207,142.712,169.78764,176.73784,183.93982,194.96432,202.16629,209.1165,236.19212
2024-06-01,189.7541,141.24358,169.35075,176.56349,184.03592,195.47229,202.94472,210.15746,238.26465
2024-07-01,189.79001,140.85182,169.22787,176.50159,184.03152,195.54848,203.07843,210.35214,238.72818
2024-08-01,190.31236,137.47832,168.09134,175.94682,184.0849,196.53981,204.67789,212.53339,243.14641
2024-09-01,190.73357,138.9033,168.95198,176.65608,184.6327,196.83443,204.81107,212.51515,242.56383
2024-10-01,189.43773,136.008,166.99364,174.9343,183.15326,195.72221,203.94118,211.88184,242.86748
2024-11-01,189.38608,134.82036,166.46487,174.57433,182.968,195.80414,204.19778,212.30727,243.95178
2024-12-01,190.80588,133.46628,166.71623,175.23836,184.06,197.55176,206.37341,214.89552,248.1455
2025-01-01,191.08672,131.2525,165.94377,174.8373,184.04483,198.1286,207.33614,216.22966,250.92093
