timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,140.07803,133.31264,135.92078,136.59138,138.03148,141.73581,143.53021,145.367,149.11505
2020-09-01,138.69533,131.36249,133.99832,134.96461,136.36562,140.6796,142.67914,144.59416,148.7785
2020-10-01,137.48808,129.791,132.44008,133.4964,135.0392,139.69019,141.95717,144.10156,148.37561
2020-11-01,136.44199,128.63919,131.2457,132.25008,134.01318,138.8572,141.47385,143.96825,148.07059
2020-12-01,136.08943,128.44495,130.9859,131.96385,133.81088,138.65979,141.3487,144.0546,148.12123
2021-01-01,139.54123,131.29898,134.24176,134.82089,136.9802,142.34206,146.14572,149.61339,154.36984
2021-02-01,140.27701,132.3287,135.19958,136.00117,137.90932,143.14279,146.65729,150.12567,155.31448
2021-03-01,140.85593,133.00555,135.87189,136.83124,138.61736,143.74951,146.98077,150.42612,155.96066
2021-04-01,140.99945,133.18848,136.02753,137.11397,138.83624,143.8799,146.90962,150.35739,156.07962
2021-05-01,140.83508,132.99344,135.79338,136.98926,138.70605,143.72083,146.64398,150.14252,155.9383
2021-06-01,140.45273,132.49658,135.26718,136.54149,138.32108,143.39796,146.32626,149.94397,155.72194
2021-07-01,139.83377,131.70885,134.45619,135.7487,137.6637,142.89369,145.97176,149.79909,155.4619
2021-08-01,139.02913,130.76695,133.47394,134.72829,136.79695,142.21867,145.54118,149.6064,155.06927
2021-09-01,138.25937,129.95334,132.59854,133.80167,135.96481,141.54587,145.06589,149.28241,154.52391
2021-10-01,137.67053,129.39345,131.97168,133.12909,135.32477,141.01152,144.6262,148.8901,153.94781
2021-11-01,137.25299,129.04344,131.55647,132.66974,134.86665,140.61435,144.24643,148.48961,153.40694
2021-12-01,136.95593,128.82741,131.27917,132.34842,134.53465,140.31236,143.91766,148.10104,152.90822
2022-01-01,139.40918,130.03021,133.1297,133.71333,136.61983,142.86488,147.44815,152.6706,157.90216
