timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,154.64977,151.72716,152.57426,153.47931,154.247,154.9899,155.53815,156.1073,158.73781
2020-09-01,154.7338,151.71007,152.54755,153.36884,154.16357,155.2271,156.02141,156.72324,159.53905
2020-10-01,154.84967,151.49278,152.40114,153.14964,154.07867,155.4801,156.52917,157.40417,160.37674
2020-11-01,154.9624,151.2791,152.26686,152.93976,154.0275,155.70274,156.9697,158.029,161.10693
2020-12-01,155.03476,151.11797,152.16748,152.79192,153.99426,155.86195,157.27495,158.50165,161.67435
2021-01-01,155.87949,151.86316,152.76207,153.55077,154.6214,156.95491,158.85553,160.54099,162.9289
2021-02-01,156.11813,151.89145,152.89479,153.78009,154.87624,157.22873,159.16919,160.89905,163.6098
2021-03-01,156.34077,151.85301,152.96362,153.92488,155.0864,157.4903,159.45801,161.25229,164.2236
2021-04-01,156.51965,151.7569,152.97617,153.99007,155.22786,157.70618,159.696,161.55058,164.74681
2021-05-01,156.67018,151.61554,152.9476,153.99391,155.31158,157.89462,159.91476,161.82417,165.21349
2021-06-01,156.82976,151.50737,152.93689,153.9968,155.3599,158.07158,160.16373,162.09566,165.5771
2021-07-01,157.10661,151.60526,153.10123,154.18282,155.47995,158.29807,160.52771,162.42134,165.73326
2021-08-01,157.35141,151.5979,153.21526,154.29794,155.63736,158.55786,160.84659,162.78838,166.02853
2021-09-01,157.33185,151.43001,153.09492,154.115,155.56244,158.58524,160.88629,162.86656,166.2581
2021-10-01,157.3033,151.30905,153.00478,153.96448,155.50067,158.58841,160.89085,162.88643,166.41614
2021-11-01,157.30394,151.25974,152.9783,153.8829,155.48427,158.60104,160.90427,162.90762,166.51402
2021-12-01,157.3317,151.25642,152.9901,153.83632,155.49966,158.63083,160.94476,162.95987,166.58308
2022-01-01,158.26,151.55597,153.35938,154.39766,156.29941,160.05585,162.79874,165.45392,168.6246
