timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,141.11636,128.20541,131.56125,134.01115,137.46648,142.81712,148.01373,151.34413,162.31033
2020-09-01,140.75081,127.93033,130.94379,133.30449,136.88806,142.46756,147.73383,150.91751,161.91797
2020-10-01,140.66685,127.86624,130.64394,132.99408,136.6386,142.31877,147.58643,150.699,161.61095
2020-11-01,140.72551,127.921974,130.54814,132.87207,136.58163,142.25703,147.50203,150.5844,161.35898
2020-12-01,140.9184,128.07579,130.65855,132.90825,136.7054,142.3,147.50687,150.5864,161.17795
2021-01-01,142.98604,128.90909,134.7566,137.34943,140.39503,145.03786,150.77657,154.33846,163.59079
2021-02-01,144.06017,129.38483,135.98235,138.27429,141.5374,146.05176,151.50984,155.20631,164.00389
2021-03-01,144.76056,129.68588,136.72627,138.79388,142.22653,146.69656,151.92972,155.6703,164.22163
2021-04-01,145.04564,129.76405,136.89232,138.86926,142.4214,146.93066,152.0144,155.76521,164.28409
2021-05-01,145.10213,129.72789,136.74515,138.69806,142.3439,146.94086,151.9211,155.67097,164.26001
2021-06-01,145.05078,129.6514,136.46243,138.41194,142.13734,146.84325,151.74347,155.48232,164.17676
2021-07-01,144.94615,129.56651,136.12413,138.07338,141.86746,146.68921,151.52203,155.23865,164.0451
2021-08-01,144.81534,129.48676,135.76846,137.71579,141.56743,146.50494,151.27724,154.96054,163.87242
2021-09-01,144.67545,129.41815,135.418,137.36179,141.2581,146.30879,151.0233,154.66302,163.66698
2021-10-01,144.53857,129.36302,135.08737,137.02763,140.95406,146.11496,150.77142,154.3586,163.43765
2021-11-01,144.41106,129.32144,134.78328,136.72096,140.66312,145.931,150.52821,154.05511,163.19188
2021-12-01,144.29193,129.29196,134.50377,136.4385,140.38524,145.75493,150.29387,153.75356,162.9333
2022-01-01,145.91087,130.29793,138.4315,140.63953,143.52141,147.91985,152.95059,156.53746,164.19968
