timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,147.60515,128.23615,139.47493,142.35277,145.32985,149.88045,152.85753,155.73537,166.97415
2020-09-01,148.18794,126.36028,139.02356,142.26697,145.62279,150.7531,154.10892,157.35233,170.0156
2020-10-01,147.93217,124.49197,138.08824,141.57158,145.17632,150.68802,154.29276,157.7761,171.37236
2020-11-01,148.396,122.629845,137.57664,141.40546,145.36736,151.42465,155.38654,159.21535,174.16217
2020-12-01,149.00539,121.088684,137.28027,141.42899,145.72264,152.28813,156.58177,160.7305,176.92209
2021-01-01,150.38968,119.99797,137.63055,142.14642,146.81854,153.96082,158.63295,163.1488,180.7814
2021-02-01,151.10535,117.52351,137.01009,141.99956,147.16087,155.04984,160.21114,165.2006,184.68718
2021-03-01,151.35146,116.28836,136.62666,141.83719,147.22925,155.47366,160.86572,166.07625,186.41455
2021-04-01,150.6547,115.224464,135.77087,141.03654,146.48698,154.8224,160.27284,165.53853,186.08493
2021-05-01,150.43741,115.37597,135.71655,140.92644,146.31694,154.55788,159.94838,165.15826,185.49884
2021-06-01,150.84418,116.567116,136.4519,141.54532,146.81554,154.87283,160.14305,165.23647,185.12125
2021-07-01,150.79549,115.26985,135.8862,141.16426,146.62358,154.96739,160.42671,165.70476,186.32112
2021-08-01,151.29219,115.082306,136.08221,141.4636,147.03343,155.55095,161.12079,166.50218,187.50208
2021-09-01,151.86044,113.72846,135.85468,141.52028,147.38118,156.33972,162.20062,167.86623,189.99245
2021-10-01,152.21791,112.45851,135.53459,141.4413,147.55013,156.88568,162.99452,168.90123,191.97731
2021-11-01,153.67479,112.13353,136.24553,142.41675,148.79866,158.5509,164.93282,171.10402,195.21603
2021-12-01,154.05725,109.75638,135.46756,142.04906,148.85596,159.25856,166.06546,172.64694,198.35814
2022-01-01,154.45416,110.43615,135.98198,142.5216,149.28549,159.62283,166.38673,172.92635,198.47218
