timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,139.46185,123.38521,132.70648,135.09602,137.56989,141.3538,143.82767,146.21722,155.5385
2020-09-01,139.94145,122.14749,132.4658,135.11044,137.84802,142.03487,144.77245,147.41707,157.7354
2020-10-01,139.96771,120.99167,131.98958,134.81062,137.73239,142.20302,145.1248,147.94585,158.94376
2020-11-01,139.48952,118.12189,130.5107,133.68669,136.9748,142.00426,145.29236,148.46834,160.85716
2020-12-01,140.87494,117.81633,131.18138,134.60922,138.1592,143.59067,147.14064,150.56848,163.93353
2021-01-01,142.51764,116.5593,131.61255,135.47054,139.46399,145.5713,149.56474,153.42274,168.47598
2021-02-01,140.7446,115.787155,130.25957,133.96887,137.80849,143.68071,147.52032,151.22961,165.70206
2021-03-01,141.46631,113.53621,129.72739,133.8791,138.17805,144.75456,149.05351,153.20523,169.39641
2021-04-01,141.56554,113.52249,129.7777,133.94638,138.2633,144.86778,149.1847,153.3534,169.6086
2021-05-01,142.0205,113.72337,130.1317,134.33743,138.69115,145.34984,149.70354,153.90929,170.31761
2021-06-01,141.39766,111.22915,128.72424,133.20792,137.84889,144.94641,149.58739,154.07106,171.56616
2021-07-01,141.6125,111.45236,128.95026,133.43175,138.0684,145.1566,149.79326,154.27475,171.77264
2021-08-01,142.50513,109.975044,128.83772,133.67262,138.67766,146.3326,151.33763,156.17253,175.0352
2021-09-01,142.94867,108.81105,128.61522,133.68787,138.93654,146.9608,152.20947,157.28214,177.08629
2021-10-01,143.83667,107.85267,128.73352,134.07983,139.6102,148.06313,153.59349,158.93982,179.82065
2021-11-01,144.01,108.14172,128.95773,134.28659,139.79823,148.22176,153.73341,159.06226,179.87827
2021-12-01,144.37811,108.400856,129.27435,134.6201,140.15079,148.60545,154.13612,159.48189,180.35538
2022-01-01,145.6722,107.44495,129.62494,135.30487,141.18102,150.16339,156.03952,161.71945,183.89946
