timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,145.3984,116.97516,133.33473,137.57413,141.99553,148.8013,153.22269,157.4621,173.82167
2021-09-01,146.36893,115.16929,133.07133,137.73154,142.60678,150.13106,155.00632,159.6665,177.56854
2021-10-01,147.16382,113.356,132.76787,137.81604,143.0936,151.23404,156.51158,161.55977,180.97163
2021-11-01,146.46208,111.45632,131.53766,136.7669,142.23874,150.68541,156.15726,161.38652,181.46783
2021-12-01,146.48962,109.96972,130.92755,136.38205,142.08743,150.89182,156.5972,162.05171,183.00954
2022-01-01,147.27173,108.944336,130.98936,136.70781,142.67581,151.86765,157.83563,163.55408,185.5991
2022-02-01,146.44812,107.20761,129.76305,135.61952,141.73557,151.16068,157.27672,163.1332,185.68863
2022-03-01,146.11995,106.73357,129.33972,135.22194,141.37384,150.86606,157.01796,162.90018,185.50633
2022-04-01,147.00423,106.21449,129.59334,135.68907,142.07312,151.93535,158.31938,164.41513,187.79398
2022-05-01,146.60822,103.71146,128.28444,134.69667,141.41583,151.8006,158.51978,164.93199,189.50497
2022-06-01,146.64626,100.74457,127.09584,133.95042,141.11775,152.17477,159.34209,166.19669,192.54796
2022-07-01,146.20547,100.139114,126.63532,133.50844,140.68152,151.72943,158.90253,165.77563,192.27184
2022-08-01,147.63766,99.04423,126.95006,134.20549,141.78944,153.48589,161.06982,168.32527,196.2311
2022-09-01,149.09317,98.05005,127.33389,134.95854,142.9362,155.25014,163.22777,170.85245,200.13629
2022-10-01,149.40892,96.01446,126.74924,134.71286,143.01765,155.8002,164.10498,172.06862,202.80339
2022-11-01,150.69843,97.32717,128.02959,135.99203,144.30077,157.09608,165.40479,173.36726,204.06967
2022-12-01,150.66446,96.31221,127.58836,135.69604,144.15373,157.17517,165.63287,173.74054,205.01671
2023-01-01,151.37105,94.63616,127.26205,135.7277,144.56462,158.17746,167.01437,175.48004,208.10593
