timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,159.33171,131.95149,147.81061,151.88223,156.10182,162.56161,166.78119,170.85283,186.71193
2019-09-01,158.54916,126.76194,145.19014,149.91508,154.8073,162.29102,167.18323,171.90817,190.33638
2019-10-01,158.29195,119.80479,142.1076,147.82964,153.7568,162.8271,168.75427,174.47629,196.77911
2019-11-01,158.67685,121.99162,143.26614,148.71829,154.36166,162.99203,168.6354,174.08755,195.36208
2019-12-01,158.11542,119.463684,141.87201,147.61726,153.56577,162.66508,168.61359,174.35884,196.76717
2020-01-01,158.11734,114.98352,139.99712,146.40773,153.04335,163.19133,169.82693,176.23756,201.25116
2020-02-01,157.81673,106.108246,136.10698,143.79042,151.74011,163.89333,171.84303,179.52646,209.52519
2020-03-01,158.46637,105.38003,136.16853,144.05789,152.22324,164.7095,172.87482,180.76419,211.5527
2020-04-01,157.95085,104.7488,135.60826,143.51433,151.69597,164.20573,172.38734,180.29343,211.1529
2020-05-01,159.4379,107.74484,137.73195,145.41342,153.36183,165.51398,173.46239,181.14388,211.13097
2020-06-01,158.56845,106.52786,136.70605,144.44048,152.44649,164.69041,172.69643,180.43085,210.60904
2020-07-01,160.57312,105.18494,137.32683,145.55598,154.0681,167.07814,175.59024,183.81941,215.9613
2020-08-01,160.88358,100.86894,135.67174,144.59122,153.82378,167.94337,177.17593,186.09543,220.89821
2020-09-01,160.65514,98.620605,134.61954,143.83617,153.36963,167.94064,177.4741,186.69073,222.68967
2020-10-01,159.8775,97.236015,133.59077,142.89711,152.52243,167.23257,176.8579,186.16425,222.519
2020-11-01,161.25214,96.83343,134.22324,143.79317,153.69014,168.81415,178.71112,188.28105,225.67085
2020-12-01,161.85837,93.32471,133.09575,143.27788,153.80988,169.90686,180.43886,190.62099,230.39203
2021-01-01,163.51593,89.67713,132.52791,143.49811,154.84494,172.18692,183.53377,194.50397,237.35474
