timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,135.93407,119.964645,129.22565,131.59901,134.05563,137.81252,140.26913,142.64252,151.9035
2018-09-01,135.07253,116.586815,127.31064,130.05754,132.89983,137.24522,140.08751,142.83441,153.55823
2018-10-01,135.37256,114.51622,126.61472,129.71396,132.92096,137.82416,141.03116,144.1304,156.2289
2018-11-01,135.81934,112.56584,126.056854,129.51207,133.0869,138.55177,142.1266,145.5818,159.07281
2018-12-01,135.79736,111.951,125.78802,129.33107,132.99623,138.59848,142.26364,145.80669,159.6437
2019-01-01,135.96822,110.60142,125.3249,129.09332,132.99051,138.94592,142.8431,146.61154,161.33502
2019-02-01,136.51799,109.90653,125.34776,129.30168,133.39194,139.64406,143.73431,147.68823,163.12946
2019-03-01,137.1588,110.1483,125.82342,129.83633,133.98698,140.3306,144.48126,148.49417,164.1693
2019-04-01,136.86713,108.37652,124.91431,129.14667,133.5233,140.21097,144.58759,148.81995,165.35773
2019-05-01,138.2439,110.31323,126.521736,130.67143,134.96373,141.52406,145.81636,149.96606,166.17456
2019-06-01,138.51903,107.91953,125.67914,130.22505,134.92656,142.1115,146.813,151.35893,169.11853
2019-07-01,138.80197,107.02826,125.46885,130.18929,135.0714,142.53253,147.41466,152.13509,170.57567
2019-08-01,138.99,106.4043,125.31582,130.15692,135.16394,142.81606,147.82309,152.66418,171.5757
2019-09-01,138.3168,102.61685,123.33965,128.64294,134.12695,142.50667,147.99066,153.29396,174.01677
2019-10-01,139.0688,103.11407,123.98622,129.32718,134.84975,143.28784,148.81041,154.15137,175.02353
2019-11-01,138.95618,102.00618,123.45742,128.94604,134.62097,143.2914,148.9663,154.45493,175.90619
2019-12-01,139.30945,98.74661,122.295525,128.32079,134.55048,144.06844,150.29811,156.32338,179.8723
2020-01-01,139.50577,97.68961,121.96404,128.17574,134.59874,144.4128,150.83578,157.04749,181.32191
