timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,157.04362,140.27386,150.00867,152.4998,155.07568,159.01158,161.58746,164.0786,173.8134
2020-09-01,156.99583,138.7478,149.34065,152.05138,154.85439,159.1373,161.9403,164.65103,175.24387
2020-10-01,158.19197,137.01001,149.30557,152.45218,155.70602,160.67793,163.93176,167.07838,179.37395
2020-11-01,159.04543,135.13222,149.01411,152.56633,156.23936,161.85149,165.5245,169.07674,182.95862
2020-12-01,157.3732,134.7077,147.86386,151.23091,154.71286,160.03352,163.51546,166.88252,180.0387
2021-01-01,157.32971,133.48055,147.32787,150.87025,154.53242,160.12701,163.78917,167.33156,181.17888
2021-02-01,156.61407,130.6631,145.72758,149.58257,153.56873,159.65944,163.6456,167.50058,182.56505
2021-03-01,157.63463,131.17862,146.53581,150.46587,154.52979,160.73946,164.80338,168.73344,184.09062
2021-04-01,157.89124,129.91002,146.15448,150.31087,154.6083,161.17416,165.47162,169.62799,185.87247
2021-05-01,158.32727,128.21489,145.69577,150.16882,154.79391,161.86064,166.48572,170.95879,188.43967
2021-06-01,158.73615,128.6896,146.1329,150.5961,155.21083,162.26147,166.87619,171.33939,188.78268
2021-07-01,159.33144,126.29427,145.47398,150.38138,155.45532,163.20755,168.2815,173.18889,192.36859
2021-08-01,159.4583,125.60886,145.25963,150.28775,155.48666,163.42995,168.62886,173.65697,193.30774
2021-09-01,160.0297,125.26536,145.449,150.61281,155.95154,164.10785,169.44658,174.61038,194.79404
2021-10-01,160.98993,124.17866,145.55035,151.01825,156.67146,165.30838,170.9616,176.4295,197.8012
2021-11-01,159.81433,120.64003,143.38432,149.20314,155.21898,164.40968,170.4255,176.24435,198.98862
2021-12-01,160.0463,123.464806,144.7042,150.13783,155.75531,164.33727,169.95474,175.38838,196.62778
2022-01-01,160.48602,122.86692,144.70572,150.29387,156.07188,164.90015,170.67818,176.26631,198.10513
