timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,159.6134,123.38928,144.37099,149.75775,155.34026,163.88655,169.46906,174.85582,195.83752
2018-09-01,158.12476,116.625854,140.62936,146.80464,153.2133,163.03622,169.44489,175.62016,199.62367
2018-10-01,159.32286,120.35006,142.89952,148.69803,154.71378,163.93196,169.94771,175.74622,198.29567
2018-11-01,158.03217,112.858284,138.97081,145.69499,152.67778,163.38657,170.36934,177.09352,203.20605
2018-12-01,161.23268,117.12919,142.62692,149.19131,156.00706,166.45831,173.27406,179.83844,205.33618
2019-01-01,158.25424,112.694695,139.05942,145.83742,152.86821,163.64029,170.67107,177.44908,203.8138
2019-02-01,158.94553,112.78262,139.47679,146.34698,153.47868,164.41237,171.54405,178.41425,205.10843
2019-03-01,159.81004,112.07295,139.66377,146.76991,154.15022,165.46988,172.85019,179.95633,207.54715
2019-04-01,159.42877,111.0793,139.01942,146.21729,153.69412,165.16344,172.64026,179.83812,207.77826
2019-05-01,159.50996,109.43989,138.34785,145.8051,153.55849,165.46146,173.21483,180.67207,209.58005
2019-06-01,160.85033,110.21506,139.4641,147.00372,154.83878,166.86186,174.69691,182.23654,211.4856
2019-07-01,160.03746,106.91111,137.62805,145.53505,153.7441,166.33083,174.53987,182.44687,213.1638
2019-08-01,159.10364,105.37549,136.39525,144.39734,152.71725,165.49004,173.80992,181.81203,212.83177
2019-09-01,158.74454,102.5103,134.98697,143.36108,152.0651,165.42397,174.12799,182.50209,214.97876
2019-10-01,159.79013,100.66767,134.83324,143.63489,152.77768,166.80257,175.94536,184.74701,218.91258
2019-11-01,160.23422,101.13076,135.30452,144.101,153.23326,167.2352,176.36743,185.16394,219.33769
2019-12-01,161.4542,101.50129,136.15082,145.07559,154.34521,168.5632,177.83281,186.75758,221.4071
2020-01-01,162.85239,101.13639,136.81511,146.00111,155.53925,170.1655,179.70366,188.88965,224.56837
