timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,137.96387,121.405365,130.95485,133.4223,135.99057,139.93715,142.50543,144.97289,154.52235
2019-09-01,138.34364,119.3515,130.30737,133.13712,136.08171,140.60556,143.55016,146.37991,157.33577
2019-10-01,140.14595,118.55635,131.01578,134.2319,137.57718,142.71474,146.06001,149.27614,161.73557
2019-11-01,138.48552,116.62607,129.25441,132.50912,135.89099,141.08006,144.46193,147.71664,160.34499
2019-12-01,138.88875,116.30477,129.34724,132.71039,136.20609,141.5714,145.06711,148.43022,161.47272
2020-01-01,136.80206,112.37925,126.47153,130.10999,133.89513,139.709,143.49414,147.13258,161.22487
2020-02-01,137.0468,109.68601,125.5159,129.58685,133.81056,140.28305,144.50674,148.57771,164.4076
2020-03-01,137.67899,109.109474,125.63509,129.88632,134.29805,141.05992,145.47163,149.72289,166.24849
2020-04-01,138.37646,109.93457,126.354866,130.59097,134.99547,141.75746,146.16196,150.39806,166.81836
2020-05-01,140.23427,107.40679,126.3854,131.27147,136.34465,144.1239,149.19708,154.08315,173.06175
2020-06-01,139.754,109.29181,126.89583,131.43071,136.14119,143.36682,148.07729,152.61218,170.2162
2020-07-01,139.96918,107.9916,126.505005,131.26135,136.19284,143.74551,148.677,153.43335,171.94675
2020-08-01,141.01529,108.703804,127.391815,132.20012,137.19052,144.84007,149.83044,154.63878,173.32678
2020-09-01,141.94121,108.11588,127.693016,132.72493,137.94376,145.93866,151.15749,156.18942,175.76653
2020-10-01,142.888,106.65569,127.63884,133.02722,138.61232,147.1637,152.74878,158.13718,179.12032
2020-11-01,142.80113,106.830894,127.66619,133.01514,138.55826,147.044,152.58713,157.93607,178.77136
2020-12-01,143.35594,106.923256,128.02977,133.44705,139.06012,147.65176,153.26482,158.6821,179.78862
2021-01-01,142.76419,105.870575,127.24561,132.73126,138.41475,147.11365,152.79713,158.28278,179.65782
