timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,148.01463,133.27104,141.83153,144.02144,146.28537,149.7439,152.00783,154.19772,162.75822
2020-09-01,148.45493,131.55484,141.36723,143.87749,146.47263,150.43724,153.03238,155.54263,165.35503
2020-10-01,148.11609,129.46175,140.29193,143.06282,145.92766,150.30452,153.16934,155.94023,166.7704
2020-11-01,148.13295,128.89253,140.06343,142.92133,145.87598,150.38994,153.34457,156.20247,167.37338
2020-12-01,148.72748,128.28398,140.15282,143.1895,146.32912,151.12584,154.26546,157.30212,169.17096
2021-01-01,148.4612,125.52947,138.8435,142.24971,145.77121,151.15118,154.6727,158.0789,171.39293
2021-02-01,149.00665,124.26963,138.63263,142.30687,146.1053,151.908,155.70644,159.38069,173.74368
2021-03-01,148.99338,122.25701,137.7792,141.75061,145.8567,152.13005,156.23615,160.20757,175.72974
2021-04-01,149.55774,122.86927,138.36288,142.32729,146.42632,152.68916,156.7882,160.7526,176.24622
2021-05-01,150.16086,123.78842,139.10031,143.01755,147.06735,153.25435,157.30415,161.22139,176.53328
2021-06-01,150.55983,124.01887,139.42793,143.3703,147.44624,153.67342,157.74936,161.69173,177.1008
2021-07-01,150.81924,123.27398,139.267,143.35843,147.58826,154.05023,158.28008,162.3715,178.3645
2021-08-01,150.83826,121.48481,138.52621,142.8864,147.39449,154.28204,158.79012,163.1503,180.1917
2021-09-01,150.76065,119.26366,137.55144,142.2298,147.06631,154.45499,159.2915,163.96985,182.25766
2021-10-01,150.64815,118.37684,137.11563,141.90881,146.86368,154.4326,159.38748,164.18065,182.91945
2021-11-01,150.85379,118.65326,137.3509,142.13359,147.07759,154.63,159.574,164.35667,183.05432
2021-12-01,151.71878,117.93319,137.55057,142.56876,147.75638,155.68117,160.8688,165.887,185.50436
2022-01-01,152.00784,117.684525,137.61359,142.7117,147.98212,156.03357,161.30399,166.4021,186.33115
