timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,156.47192,-226.61064,-28.594666,30.824259,99.24524,213.69861,282.11957,341.53848,539.5545
2023-09-01,161.415,-205.82217,-16.970192,40.07024,106.0402,216.78978,282.75974,339.80017,528.65216
2023-10-01,151.35268,-232.36696,-35.070194,24.532887,93.47592,209.22943,278.17242,337.77554,535.0723
2023-11-01,144.741,-200.382,-22.609638,30.972313,92.855804,196.6262,258.50967,312.0916,489.864
2023-12-01,150.38441,-229.35587,-33.71697,25.236616,93.313576,207.45525,275.53217,334.48578,530.1247
2024-01-01,155.21657,-257.4286,-44.250286,19.763754,93.51102,216.9221,290.66934,354.6834,567.86176
2024-02-01,154.54758,-226.25958,-29.418009,29.64783,97.66173,211.43341,279.4473,338.51315,535.35474
2024-03-01,154.44048,-206.66678,-21.869062,34.2912,99.510895,209.37006,274.58972,330.75,515.5477
2024-04-01,152.37537,-207.61316,-24.077543,31.96274,97.24846,207.50226,272.788,328.82828,512.3639
2024-05-01,165.75351,-240.48854,-33.50733,29.743925,103.47087,228.03616,301.7631,365.01437,571.9956
2024-06-01,156.73705,-222.52092,-28.942883,30.080128,98.77568,214.69841,283.39392,342.41696,535.995
2024-07-01,159.57901,-225.54077,-26.460407,33.273556,102.05398,217.10403,285.88443,345.61844,544.6988
2024-08-01,157.49352,-228.98471,-30.018972,29.992374,99.333496,215.65352,284.99463,345.00598,543.9717
2024-09-01,161.96336,-226.85205,-27.343578,33.083748,103.101265,220.82545,290.84296,351.2703,550.7788
2024-10-01,164.75443,-234.06143,-28.06082,33.810593,105.09927,224.40959,295.69824,357.56967,563.5703
2024-11-01,164.64627,-239.2973,-31.202162,31.509977,103.93101,225.36154,297.78253,360.49472,568.58984
2024-12-01,163.13806,-230.46503,-25.96769,34.9963,104.88974,221.38638,291.2798,352.2438,556.74115
2025-01-01,173.82707,-238.71252,-25.50999,38.481205,112.178925,235.47523,309.17294,373.16415,586.3667
