timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,170.9302,161.46228,164.78319,167.24121,169.33183,172.42027,174.53175,177.54643,183.59363
2023-09-01,170.75919,161.07999,164.6698,166.8147,169.16245,172.26633,174.73682,177.50131,183.7677
2023-10-01,170.9473,160.53218,164.40753,166.22351,168.99176,172.58304,175.51723,178.03583,184.8254
2023-11-01,171.7047,159.80911,163.96619,165.93413,169.0728,173.45291,176.94899,179.57744,187.17871
2023-12-01,172.38907,158.85243,163.43187,165.6749,169.20105,174.51654,178.53246,181.58008,189.74309
2024-01-01,175.00926,159.3736,164.0363,167.93216,171.59534,178.067,183.36555,188.98643,197.55392
2024-02-01,175.53769,158.96504,164.07314,167.83131,171.66316,178.73418,184.35,190.15828,199.20413
2024-03-01,176.12091,158.79836,164.18527,167.85826,171.91333,179.62462,185.43956,191.54753,200.98778
2024-04-01,176.69455,158.9184,164.45984,168.04713,172.27544,180.43137,186.33228,192.65714,202.39728
2024-05-01,177.25768,159.40152,165.00598,168.46822,172.80005,181.08496,186.95724,193.23904,203.29129
2024-06-01,177.70154,160.01129,165.63998,168.92546,173.31006,181.56435,187.34746,193.4797,203.7887
2024-07-01,177.7499,160.10706,165.858,168.8975,173.2619,181.57307,187.36046,193.61975,203.84752
2024-08-01,177.47209,159.8667,165.76138,168.43213,172.80893,181.30246,187.14493,193.54565,203.6114
2024-09-01,177.24364,159.80806,165.73404,168.00247,172.53487,181.2648,187.14066,193.40482,203.52219
2024-10-01,177.15825,159.88477,165.71024,167.65198,172.43243,181.41516,187.3393,193.37946,203.58081
2024-11-01,177.45078,159.94084,165.51146,167.73116,172.60956,181.44206,187.24692,192.83258,202.84465
2024-12-01,177.64119,159.77788,165.16455,167.69302,172.75378,181.47806,187.26263,192.52612,202.18463
2025-01-01,180.56277,160.01266,165.33247,169.8062,175.66028,185.33232,192.43413,199.2761,209.22662
