timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,159.35425,150.8274,154.30537,155.97708,157.80637,160.98851,162.42043,164.12561,170.24536
2022-09-01,160.00948,150.67682,154.43394,156.02412,158.08173,161.73146,163.67676,165.55124,171.80023
2022-10-01,160.44536,150.11417,154.08974,155.82959,158.13557,162.37383,164.7997,166.84773,173.45209
2022-11-01,160.84476,149.35652,153.59447,155.51141,158.15076,163.05629,166.11086,168.55368,175.25128
2022-12-01,161.21228,148.56381,153.09608,155.16643,158.17061,163.7496,167.52069,170.5277,176.99962
2023-01-01,162.25404,148.33997,153.26648,154.1167,158.751,165.25282,170.98787,173.74146,178.03381
2023-02-01,162.51874,147.88054,153.05351,154.15866,158.86128,165.60942,171.42117,174.09947,178.81274
2023-03-01,162.6782,147.49106,152.83748,154.17256,158.88103,165.88525,171.75139,174.4204,179.39818
2023-04-01,162.7767,147.14589,152.62663,154.1976,158.8538,166.12344,172.01077,174.68843,179.8418
2023-05-01,162.82649,146.81761,152.4131,154.23929,158.79109,166.3411,172.19641,174.86786,180.18216
2023-06-01,162.83307,146.45428,152.16771,154.27309,158.68777,166.54663,172.30325,174.92966,180.4873
2023-07-01,162.78958,145.98453,151.83916,154.24477,158.52069,166.74062,172.3427,174.88385,180.82161
2023-08-01,162.68182,145.4088,151.41891,154.12396,158.28207,166.89204,172.3126,174.75912,181.17801
2023-09-01,162.51718,144.83632,150.97926,153.94858,158.01082,166.9566,172.19768,174.5884,181.48335
2023-10-01,162.32666,144.36957,150.59735,153.7728,157.75696,166.92035,172.00409,174.40164,181.68668
2023-11-01,162.13586,144.02275,150.28825,153.61417,157.53706,166.8005,171.7549,174.20744,181.79028
2023-12-01,161.95192,143.76012,150.02875,153.46088,157.3403,166.61801,171.46951,173.99983,181.81795
2024-01-01,162.80228,144.94157,150.75394,152.48242,157.98398,166.87895,172.88608,174.50748,179.66428
