timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,152.08333,148.33359,149.66144,149.99934,151.268,152.52486,153.5059,153.79385,156.47404
2019-09-01,152.13931,147.9992,149.43448,149.9105,151.21248,152.67328,153.83643,154.3915,156.98051
2019-10-01,152.17586,147.54028,149.11603,149.73242,151.14906,152.98674,154.29196,155.08139,157.6473
2019-11-01,152.28548,147.38031,148.96292,149.75073,151.1961,153.21684,154.57701,155.5005,157.9644
2019-12-01,152.401,147.40353,148.91635,149.84782,151.27446,153.36612,154.75478,155.7368,158.06244
2020-01-01,153.43495,146.51834,148.57787,149.80206,151.97342,154.86482,157.14893,158.84639,161.63013
2020-02-01,153.98637,146.53633,148.67679,150.0217,152.369,155.62357,157.95284,159.63571,162.66174
2020-03-01,154.41064,146.53627,148.75345,150.1936,152.65102,156.21503,158.52383,160.19528,163.39919
2020-04-01,154.72351,146.48553,148.79065,150.30418,152.8271,156.65558,158.92093,160.59146,163.92271
2020-05-01,154.95435,146.36992,148.78133,150.35455,152.92545,156.99104,159.225,160.90225,164.34381
2020-06-01,155.11989,146.1974,148.7272,150.3511,152.96532,157.24904,159.48341,161.16924,164.7214
2020-07-01,155.22127,145.96881,148.6234,150.29,152.95139,157.43858,159.7207,161.41022,165.08592
2020-08-01,155.2372,145.65993,148.43854,150.15157,152.8749,157.56242,159.9441,161.62666,165.45567
2020-09-01,155.14143,145.34123,148.15398,149.98679,152.78537,157.61453,160.05597,161.71446,165.67574
2020-10-01,155.0248,145.17542,147.95744,149.87619,152.69073,157.55316,160.03833,161.65549,165.63055
2020-11-01,154.90819,145.15018,147.86398,149.81712,152.57027,157.44334,159.98648,161.56618,165.48474
2020-12-01,154.77628,145.24362,147.82478,149.80809,152.45009,157.29384,159.84952,161.38242,165.17615
2021-01-01,154.98824,144.16212,147.37753,148.95598,152.1955,157.50488,160.30281,162.14458,165.93803
