timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,165.10316,161.01582,162.86395,163.20723,164.46902,165.28253,165.90709,166.61716,170.30183
2021-09-01,165.16183,160.96313,162.85345,163.0246,164.38437,165.45665,166.34471,167.30505,171.30742
2021-10-01,165.30304,160.15926,162.28873,162.64732,164.2094,165.8683,166.84962,167.94481,172.5229
2021-11-01,165.59113,159.80937,162.11903,162.61818,164.30685,166.33992,167.32219,168.50504,173.47728
2021-12-01,165.91226,159.66234,162.11646,162.69818,164.47563,166.81056,167.78688,169.06778,174.2931
2022-01-01,166.53758,161.78326,163.54585,163.94446,165.15843,167.74461,169.89682,170.98328,173.88689
2022-02-01,167.09319,161.92313,163.76367,164.25368,165.67003,168.37804,170.63524,171.74475,175.46875
2022-03-01,167.45822,161.80118,163.77016,164.3394,165.95717,168.90858,171.2059,172.4251,176.76761
2022-04-01,167.6706,161.59378,163.6781,164.30191,166.07764,169.29948,171.61604,172.96767,177.83228
2022-05-01,167.76285,161.32211,163.5096,164.1652,166.07578,169.56146,171.89182,173.3757,178.707
2022-06-01,167.81334,161.11635,163.36644,163.98697,166.01564,169.70677,172.10658,173.71051,179.35123
2022-07-01,168.13211,161.36795,163.55472,164.05405,166.09207,169.87462,172.50974,174.25163,179.59398
2022-08-01,168.41417,161.25642,163.39294,164.11563,166.07677,170.1199,172.75266,174.63425,179.67618
2022-09-01,168.54695,160.9272,163.16673,163.97574,166.0771,170.38528,173.00027,175.06454,180.22836
2022-10-01,168.6629,160.64288,162.9882,163.82718,166.09866,170.6344,173.2436,175.47592,180.83948
2022-11-01,168.80655,160.42824,162.86134,163.70251,166.14417,170.89482,173.54443,175.95052,181.4831
2022-12-01,168.99829,160.26588,162.77245,163.59702,166.21788,171.20169,173.95868,176.56792,182.21086
2023-01-01,169.48602,161.11005,163.19933,164.16634,166.53194,172.39394,176.27467,179.04485,183.04712
