timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,165.97424,151.42384,157.21902,158.94621,162.99564,168.13611,170.35075,173.10532,182.14948
2020-09-01,165.4902,150.51613,156.32098,157.93436,162.30109,168.09,170.9616,173.91188,183.25458
2020-10-01,164.27182,147.62178,153.93672,155.75523,160.66502,167.61984,171.26765,174.1668,184.82251
2020-11-01,162.85202,144.10304,151.10483,153.27115,158.71931,167.07597,171.49117,174.36499,186.59784
2020-12-01,161.99365,141.62833,149.0919,151.59589,157.3507,167.03561,172.04727,175.30988,188.50739
2021-01-01,165.72884,145.24362,152.1173,154.10881,160.19464,171.15216,178.5669,182.91656,195.03903
2021-02-01,166.62967,145.3658,152.63809,155.03024,160.75192,172.6734,180.06479,185.17131,198.13477
2021-03-01,167.20702,144.83206,152.57652,155.31215,161.01268,173.87013,181.45752,187.33566,200.88284
2021-04-01,167.54561,144.01819,152.2116,155.25114,161.08641,174.7886,182.70667,189.3329,203.24178
2021-05-01,167.67609,143.19194,151.7402,155.03584,161.01717,175.4313,183.70308,191.01785,205.04836
2021-06-01,167.55861,142.44153,151.2186,154.712,160.79535,175.72638,184.2835,192.17685,206.14401
2021-07-01,167.18376,141.73073,150.63313,154.25365,160.40341,175.6458,184.38742,192.71747,206.5699
2021-08-01,166.50108,140.778,149.80833,153.49861,159.75078,175.18614,184.0803,192.69997,206.54312
2021-09-01,165.27922,138.93848,148.28961,152.05405,158.56902,174.22891,183.38873,192.13576,206.24158
2021-10-01,163.66794,136.48213,146.26334,150.10197,156.99902,172.85788,182.34344,191.04703,205.59453
2021-11-01,162.45691,134.88441,144.85046,148.69315,155.82574,171.70071,181.31729,189.94537,204.7751
2021-12-01,161.67204,134.1112,144.05783,147.85158,155.06073,170.85692,180.45905,189.05014,204.00156
2022-01-01,166.70331,137.95132,147.36768,149.9736,158.79117,176.2388,188.90791,199.1155,213.08015
