timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,157.01285,146.63539,151.93817,153.87694,155.72635,158.3767,160.70937,162.34236,171.18835
2021-09-01,156.79907,146.43889,151.65771,153.35239,155.32579,158.10835,160.28976,161.93741,171.11261
2021-10-01,156.69643,146.32048,151.55652,153.01196,155.0935,158.02121,160.06339,161.7335,171.07274
2021-11-01,156.6348,146.22676,151.48691,152.79782,154.95952,157.99242,159.90747,161.619,171.05035
2021-12-01,156.58627,146.13872,151.40996,152.651,154.87547,157.96281,159.75935,161.51933,171.01407
2022-01-01,158.31056,148.68387,154.32959,155.11545,156.61777,159.7551,162.70518,164.46948,170.94298
2022-02-01,158.64444,148.81323,154.46622,155.35437,156.90408,160.08952,162.91078,164.78517,171.17932
2022-03-01,158.92508,148.92998,154.56111,155.5409,157.1507,160.37183,163.09789,165.04903,171.37326
2022-04-01,159.15234,149.01933,154.61253,155.67,157.3483,160.60037,163.24509,165.25264,171.53307
2022-05-01,159.33391,149.08011,154.6268,155.74847,157.50143,160.78694,163.35419,165.40521,171.66638
2022-06-01,159.47923,149.11609,154.61047,155.78375,157.61586,160.94424,163.43083,165.51869,171.77919
2022-07-01,159.59682,149.13225,154.56903,155.7824,157.69658,161.08374,163.48082,165.60355,171.87534
2022-08-01,159.69145,149.13155,154.5058,155.74886,157.74628,161.21114,163.5061,165.66441,171.95583
2022-09-01,159.7598,149.11067,154.42,155.68373,157.76367,161.3198,163.49998,165.69423,172.0179
2022-10-01,159.78876,149.05853,154.30566,155.58264,157.74307,161.389,163.44655,165.67331,172.05563
2022-11-01,159.76233,148.96222,154.15498,155.43924,157.67773,161.39545,163.32883,165.58005,172.06306
2022-12-01,159.67206,148.81589,153.9639,155.25038,157.564,161.32831,163.13846,165.40424,172.03629
2023-01-01,160.69745,151.10982,156.46162,157.26492,158.74298,162.25871,165.13852,167.20334,170.93149
