timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,136.93654,134.00816,135.31366,136.13129,136.54712,137.54807,138.5387,139.56023,141.59439
2019-09-01,136.85034,133.91841,135.2326,136.02197,136.45683,137.51265,138.5125,139.51105,141.5757
2019-10-01,136.76802,133.82126,135.14124,135.8971,136.35959,137.48308,138.48016,139.45158,141.55048
2019-11-01,136.68509,133.71266,135.0421,135.75119,136.25325,137.45734,138.44492,139.38644,141.51596
2019-12-01,136.61142,133.6061,134.94394,135.60196,136.14676,137.43083,138.41096,139.31267,141.47223
2020-01-01,137.40862,134.36296,135.9935,136.71754,137.12065,138.26938,138.92206,139.97105,141.67331
2020-02-01,137.45786,134.29977,135.99815,136.71385,137.13733,138.31796,139.01962,140.00131,141.72859
2020-03-01,137.5501,134.2594,136.04366,136.75362,137.1969,138.39328,139.14381,140.03593,141.76392
2020-04-01,137.6268,134.21529,136.07314,136.77762,137.24545,138.4508,139.24121,140.0544,141.78467
2020-05-01,137.66956,134.15794,136.06834,136.76645,137.26175,138.47925,139.30116,140.05765,141.79926
2020-06-01,137.68593,134.09322,136.039,136.7296,137.2529,138.48546,139.33461,140.04901,141.80873
2020-07-01,137.68565,134.02591,135.99544,136.67737,137.2286,138.47728,139.35127,140.03065,141.81209
2020-08-01,137.67473,133.95837,135.94371,136.61514,137.19452,138.45941,139.35667,140.00386,141.80865
2020-09-01,137.65594,133.89195,135.88663,136.54538,137.153,138.43394,139.35327,139.96922,141.79819
2020-10-01,137.6303,133.82751,135.82527,136.46913,137.10477,138.40157,139.34187,139.92699,141.78064
2020-11-01,137.59811,133.7658,135.76015,136.38712,137.04999,138.36246,139.3227,139.87727,141.75601
2020-12-01,137.56003,133.70743,135.69183,136.30026,136.98914,138.31696,139.29611,139.82051,141.72444
2021-01-01,138.17787,134.45804,136.6341,137.2709,137.80696,138.95811,139.58957,140.17487,141.50145
