timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,186.20949,177.37,180.43155,182.32178,184.3143,187.26288,189.32677,191.49005,198.96495
2023-09-01,186.32617,177.5889,180.56934,182.60109,184.4369,188.04382,189.63794,192.28775,199.34532
2023-10-01,186.56993,177.65724,180.54782,182.68666,184.50046,188.43398,189.95241,192.8087,199.61111
2023-11-01,187.2325,177.83498,180.63634,182.70648,184.80426,189.08128,191.1087,193.81607,200.5581
2023-12-01,187.66461,177.7054,180.50586,182.60837,184.92386,189.50755,191.93661,194.63673,201.14961
2024-01-01,189.70515,180.55898,183.70142,184.5772,187.49687,191.93468,194.39502,196.32335,204.0759
2024-02-01,190.89937,180.8889,184.27007,185.90132,188.67244,193.47408,196.36871,198.91687,206.29088
2024-03-01,191.47885,180.94275,184.54207,186.42297,189.18622,194.35146,197.39445,200.271,207.45352
2024-04-01,192.03705,181.00027,184.7845,186.73625,189.62125,195.16913,198.46498,201.54047,208.54555
2024-05-01,192.69034,181.10762,185.03412,187.05083,190.10168,196.09595,199.72617,203.03114,209.78502
2024-06-01,193.50891,181.34863,185.34935,187.46968,190.71295,197.20204,201.24316,204.86018,211.23808
2024-07-01,194.4683,181.7711,185.7421,188.02225,191.47208,198.45743,202.9784,207.00952,212.84605
2024-08-01,195.24316,182.1384,185.98886,188.51868,192.0944,199.57053,204.45972,209.04301,214.20886
2024-09-01,195.34732,181.83247,185.60277,188.61984,192.04068,200.10847,204.85011,210.15738,214.7226
2024-10-01,195.31201,181.31378,185.04079,188.45975,191.77423,200.30232,204.93341,210.63097,214.80295
2024-11-01,195.0048,180.8607,184.52887,187.92328,191.30472,200.12904,204.67134,210.54094,214.32967
2024-12-01,194.57297,180.41591,184.01335,187.3978,190.78668,199.77661,204.16763,210.28252,213.67065
2025-01-01,197.61519,183.8965,187.26099,189.51205,193.94516,203.27254,209.28343,214.26602,219.02031
