timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,158.99161,153.9748,155.77324,156.57478,157.76976,160.21346,161.40845,162.20998,164.00842
2021-09-01,158.93715,153.62025,155.52618,156.37569,157.64217,160.23215,161.49863,162.34813,164.25406
2021-10-01,158.56306,153.14546,155.06169,155.92651,157.22621,159.8999,161.19962,162.06442,163.98065
2021-11-01,159.16946,153.42012,155.47668,156.39514,157.7662,160.57271,161.94377,162.86223,164.9188
2021-12-01,159.56595,153.49089,155.68488,156.6559,158.09714,161.03476,162.476,163.44702,165.64099
2022-01-01,159.51038,153.53267,155.67175,156.62672,158.05194,160.9688,162.39403,163.34898,165.48807
2022-02-01,159.3444,153.0967,155.32396,156.32182,157.81444,160.87437,162.36699,163.36485,165.59212
2022-03-01,159.25319,152.82593,155.15027,156.17769,157.70132,160.80504,162.32867,163.35611,165.68045
2022-04-01,159.55797,153.02927,155.37762,156.42093,157.97319,161.14275,162.69499,163.7383,166.08667
2022-05-01,159.50914,152.46103,155.03937,156.1667,157.82692,161.19136,162.8516,163.97891,166.55725
2022-06-01,159.58134,152.39182,155.01083,156.16055,157.85806,161.30463,163.00215,164.15187,166.77089
2022-07-01,160.01477,153.10391,155.62921,156.73453,158.36345,161.6661,163.29503,164.40034,166.92564
2022-08-01,159.50766,151.62653,154.50856,155.7691,157.62595,161.38937,163.2462,164.50676,167.3888
2022-09-01,159.7243,151.65404,154.62694,155.91817,157.81172,161.63687,163.53043,164.82167,167.79457
2022-10-01,160.0655,151.29109,154.5261,155.93005,157.98785,162.14317,164.20096,165.60492,168.8399
2022-11-01,160.22896,151.32677,154.5572,155.9805,158.08688,162.37103,164.47742,165.90071,169.13115
2022-12-01,160.32039,150.9918,154.43344,155.9261,158.11302,162.52776,164.71466,166.20734,169.64897
2023-01-01,160.6931,150.71619,154.46169,156.05917,158.37465,163.01155,165.32704,166.92453,170.67
