timestamp,q_0.05,q_0.95,q_0.5
2024-08-01,197.9,197.9,197.9
2024-09-01,196.7,196.7,196.7
2024-10-01,197.6,197.6,197.6
2024-11-01,197.9,197.9,197.9
2024-12-01,197.9,197.9,197.9
2025-01-01,197.0,197.0,197.0
2025-02-01,197.7,197.7,197.7
2025-03-01,197.0,197.0,197.0
2025-04-01,197.0,197.0,197.0
2025-05-01,198.8,198.8,198.8
2025-06-01,198.2,198.2,198.2
2025-07-01,199.1,199.1,199.1
2025-08-01,197.9,197.9,197.9
2025-09-01,196.7,196.7,196.7
2025-10-01,197.6,197.6,197.6
2025-11-01,197.9,197.9,197.9
2025-12-01,197.9,197.9,197.9
