timestamp,q_0.05,q_0.95,q_0.5
2020-08-01,157.2,157.2,157.2
2020-09-01,150.8,150.8,150.8
2020-10-01,145.3,145.3,145.3
2020-11-01,153.6,153.6,153.6
2020-12-01,157.9,157.9,157.9
2021-01-01,165.8,165.8,165.8
2021-02-01,165.2,165.2,165.2
2021-03-01,162.4,162.4,162.4
2021-04-01,163.8,163.8,163.8
2021-05-01,161.5,161.5,161.5
2021-06-01,166.9,166.9,166.9
2021-07-01,168.4,168.4,168.4
2021-08-01,160.9,160.9,160.9
2021-09-01,154.3,154.3,154.3
2021-10-01,148.6,148.6,148.6
2021-11-01,157.2,157.2,157.2
2021-12-01,161.7,161.7,161.7
