timestamp,q_0.05,q_0.95,q_0.5
2018-08-01,132.8,132.8,132.8
2018-09-01,126.9,126.9,126.9
2018-10-01,124.5,124.5,124.5
2018-11-01,132.4,132.4,132.4
2018-12-01,135.8,135.8,135.8
2019-01-01,139.2,139.2,139.2
2019-02-01,140.8,140.8,140.8
2019-03-01,139.5,139.5,139.5
2019-04-01,138.9,138.9,138.9
2019-05-01,139.8,139.8,139.8
2019-06-01,142.1,142.1,142.1
2019-07-01,141.4,141.4,141.4
2019-08-01,135.2,135.2,135.2
2019-09-01,129.5,129.5,129.5
2019-10-01,128.4,128.4,128.4
2019-11-01,135.8,135.8,135.8
2019-12-01,138.9,138.9,138.9
